gate_id,gate,requirement,status,evidence_path,evidence_sha256,blocking_reason,human_signoff_required,human_signoff_role
SR-01,Scope and protocol,"Freeze the research question, jurisdictions, languages, cutoff, unit of analysis, search methods, screening rules, and exclusion log.",in_progress,protocol/STABLE_CORE_SELECTION.md,,"The retrospective mapping protocol and search log are not yet complete.",true,methods
SR-02,Claim disposition,"Disposition every claim in the proposed core as checked, project-authored hypothesis with a documented null search, or excluded/deprecated.",blocked,,,"Most core-candidate claims still lack claim-specific review.",true,evidence
SR-03,Legal review,"Check every legal-status and scope claim in the proposed core against a primary legal or official source within 30 days of freeze.",blocked,,,"Legal coverage is incomplete and no human legal reviewer is assigned.",true,legal
SR-04,Effect review,"Review every proposed-core effectiveness claim with design, population, comparator, endpoint, horizon, uncertainty, directness, and limitations.",blocked,review/priority_claim_review.csv,,"Only the first six priority effect claims have structured review.",true,evidence
SR-05,Mechanism review,"Review every proposed-core mechanism claim against an eligible empirical, incident, or otherwise method-appropriate source.",blocked,,,"Mechanism verification remains incomplete and project provenance is not external support.",true,evidence
SR-06,Gate assessments,"Publish pass, fail, uncertain, or not-applicable assessments and evidence for every non-compensable gate for each core candidate.",blocked,protocol/RANKING_PROTOCOL.md,,"The beta contains gate definitions but no completed implementation-level assessments.",true,methods
SR-07,Package review,"Independently review every package or decision band retained in the stable portfolio.",blocked,,,"No independent package-review record exists.",true,independent
SR-08,Double coding,"Double-code at least 20 percent of subjective fields, report agreement, adjudicate conflicts, and recode any field that misses the registered threshold.",blocked,,,"No completed double-coding or agreement report exists.",true,methods
SR-09,Technical QA,"Pass schemas, foreign keys, controlled vocabularies, CSV-Parquet semantic parity, two clean deterministic builds, checksums, inventory, and Viewer smoke tests with zero errors and zero warnings.",in_progress,scripts/validate_release.py,,"Current beta validation still reports the known raw-edge deduplication warning and does not satisfy every stable QA control.",false,
SR-10,Governance and disclosures,"Name human evidence, legal, methods, release, and independent reviewers; freeze CRediT, ORCID where available, funding, affiliations, and conflicts.",blocked,MAINTAINERS.md,,"Required human roles and disclosures remain pending.",true,release
SR-11,Rights and licensing,"Complete rights, attribution, third-party notice, privacy, and responsible-use review for every distributed field and cited source.",in_progress,LICENSE,,"Project-authored licensing is defined; source-by-source rights audit is incomplete.",true,legal
SR-12,Ranking preregistration,"Freeze and prospectively register scenarios, gates, criteria, evidence floors, missingness, weights, uncertainty, sensitivity, exclusions, and analysis code before producing public ranks.",blocked,protocol/RANKING_PROTOCOL.md,,"The protocol is a draft and has not been preregistered.",true,methods
SR-13,Preservation and DOI,"Reserve the Zenodo version DOI, record an existing concept DOI or explicit first-publication pending status, insert the real identifiers into frozen metadata, verify the preservation workflow, and mark the signed candidate ready for manual deposit.",blocked,DOI_RELEASE.md,,"No stable candidate or reserved DOI exists; beta releases must not receive a DOI.",true,release
