benchmarkId,model,canonicalModelId,family,organisation,accessType,releaseDate,releaseDateBasis,evaluationDate,totalParamsB,quantisationBits,subset,n,complyCount,softRefuseCount,refuseCount,incoherentCount,complyPct,softRefusePct,refusePct,incoherentPct,sourceType,sourceUrl,sourceCommit,judgeModel
diselect,GPT-2,vicgalle/gpt2-open-instruct-v1,GPT,OpenAI,open-weight,2019-02-14,original model announcement date (upstream paper),,1.5,,all-harmful,2200,141,1238,4,817,6.409,56.273,0.182,37.136,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-2,vicgalle/gpt2-open-instruct-v1,GPT,OpenAI,open-weight,2019-02-14,original model announcement date (upstream paper),,1.5,,benign,50,2,9,0,39,4.0,18.0,0.0,78.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-2,vicgalle/gpt2-open-instruct-v1,GPT,OpenAI,open-weight,2019-02-14,original model announcement date (upstream paper),,1.5,,mp-targeting,1100,104,628,1,367,9.455,57.091,0.091,33.364,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-2,vicgalle/gpt2-open-instruct-v1,GPT,OpenAI,open-weight,2019-02-14,original model announcement date (upstream paper),,1.5,,voter-targeting,1100,37,610,3,450,3.364,55.455,0.273,40.909,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,T5,t5_v1_1_xl,T5,Google,open-weight,2019-10-23,original model announcement date (upstream paper),,2.85,,all-harmful,2200,97,519,12,1572,4.409,23.591,0.545,71.455,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,T5,t5_v1_1_xl,T5,Google,open-weight,2019-10-23,original model announcement date (upstream paper),,2.85,,benign,50,0,3,0,47,0.0,6.0,0.0,94.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,T5,t5_v1_1_xl,T5,Google,open-weight,2019-10-23,original model announcement date (upstream paper),,2.85,,mp-targeting,1100,36,271,9,784,3.273,24.636,0.818,71.273,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,T5,t5_v1_1_xl,T5,Google,open-weight,2019-10-23,original model announcement date (upstream paper),,2.85,,voter-targeting,1100,61,248,3,788,5.545,22.545,0.273,71.636,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-Neo,EleutherAI/gpt-neo-2.7B,GPT-Neo,EleutherAI,open-weight,2021-03-21,original model announcement date (upstream paper),,2.72,,all-harmful,2200,116,1161,12,911,5.273,52.773,0.545,41.409,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-Neo,EleutherAI/gpt-neo-2.7B,GPT-Neo,EleutherAI,open-weight,2021-03-21,original model announcement date (upstream paper),,2.72,,benign,50,13,10,0,27,26.0,20.0,0.0,54.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-Neo,EleutherAI/gpt-neo-2.7B,GPT-Neo,EleutherAI,open-weight,2021-03-21,original model announcement date (upstream paper),,2.72,,mp-targeting,1100,74,608,4,414,6.727,55.273,0.364,37.636,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-Neo,EleutherAI/gpt-neo-2.7B,GPT-Neo,EleutherAI,open-weight,2021-03-21,original model announcement date (upstream paper),,2.72,,voter-targeting,1100,42,553,8,497,3.818,50.273,0.727,45.182,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Flan-T5,flan_t5_xl,T5,Google,open-weight,2022-10-20,original model announcement date (upstream paper),,2.85,,all-harmful,2200,407,867,10,916,18.5,39.409,0.455,41.636,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Flan-T5,flan_t5_xl,T5,Google,open-weight,2022-10-20,original model announcement date (upstream paper),,2.85,,benign,50,28,1,0,21,56.0,2.0,0.0,42.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Flan-T5,flan_t5_xl,T5,Google,open-weight,2022-10-20,original model announcement date (upstream paper),,2.85,,mp-targeting,1100,235,393,1,471,21.364,35.727,0.091,42.818,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,Flan-T5,flan_t5_xl,T5,Google,open-weight,2022-10-20,original model announcement date (upstream paper),,2.85,,voter-targeting,1100,172,474,9,445,15.636,43.091,0.818,40.455,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3,tos_davinci3,GPT,OpenAI,hosted,2022-11-28,original model announcement date (upstream paper),,175.0,,all-harmful,2200,1921,279,0,0,87.318,12.682,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3,tos_davinci3,GPT,OpenAI,hosted,2022-11-28,original model announcement date (upstream paper),,175.0,,benign,50,50,0,0,0,100.0,0.0,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3,tos_davinci3,GPT,OpenAI,hosted,2022-11-28,original model announcement date (upstream paper),,175.0,,mp-targeting,1100,1035,65,0,0,94.091,5.909,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3,tos_davinci3,GPT,OpenAI,hosted,2022-11-28,original model announcement date (upstream paper),,175.0,,voter-targeting,1100,886,214,0,0,80.545,19.455,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3.5 Turbo,gpt35t_0613,GPT,OpenAI,hosted,2023-01-03,original model announcement date (upstream paper),,20.0,,all-harmful,2200,2128,71,1,0,96.727,3.227,0.045,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3.5 Turbo,gpt35t_0613,GPT,OpenAI,hosted,2023-01-03,original model announcement date (upstream paper),,20.0,,benign,50,49,0,1,0,98.0,0.0,2.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3.5 Turbo,gpt35t_0613,GPT,OpenAI,hosted,2023-01-03,original model announcement date (upstream paper),,20.0,,mp-targeting,1100,1073,26,1,0,97.545,2.364,0.091,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-3.5 Turbo,gpt35t_0613,GPT,OpenAI,hosted,2023-01-03,original model announcement date (upstream paper),,20.0,,voter-targeting,1100,1055,45,0,0,95.909,4.091,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
diselect,GPT-4,gpt4_0613,GPT,OpenAI,hosted,2023-03-14,original model announcement date (upstream paper),,,,all-harmful,2200,2011,189,0,0,91.409,8.591,0.0,0.0,recomputed from author-released item labels,https://github.com/alan-turing-institute/election-ai-safety,915a8f8c22fb9cd8a2e4ae6824513760f0468f69,GPT-3.5 Turbo (zero-shot; upstream protocol)
