mechanism_id,mechanism_failure_point,part_1_status,part_2_status,agency_domain,current_coverage,critical_gap,last_reviewed
M-01,Purpose fragmentation across agents and tools,Benign-looking subtasks can compose into a harmful terminal objective.,Planning and tool-use gains expand the feasible workflow.,Executive; decisional,Weak / emergent,No end-to-end standard binds local actions to a persistent root purpose.,2026-08-11
M-02,"Safeguard removal, jailbreaks, and modifiable weights",Default refusals are not stable under adaptive attack or model modification.,Open and frontier variants must be tracked separately by safeguard state.,Evaluative; decisional,Partial,No validated capability-and-modifiability release threshold.,2026-08-11
M-03,Personalized persuasion and microtargeting,Target attributes can be separated from content generation and delivery.,Persuasion and profiling capabilities are measurable but not fully outcome-validated.,Evaluative; decisional,Fragmented,"Organic, proxy, and conversational targeting often falls outside ad rules.",2026-08-11
M-04,"Multi-turn adaptation, memory, and long-horizon influence",Single-turn safety tests miss cumulative interaction effects.,Memory and agent scaffolds increase adaptation and persistence.,Relational; evaluative; decisional,Weak,"No validated 7-, 30-, or 90-day agency-transfer measure.",2026-08-11
M-05,"Synthetic intimacy, affective inference, and dependency",Relational framing can lower resistance without an overtly political request.,Companion-like behavior and personalized trust require separate evaluation.,Relational; evaluative,Very weak,"Current law focuses on acute harm, vulnerability classes, or data—not relational dependence.",2026-08-11
M-06,"Agentic planning, tools, permissions, and autonomous action","Harm emerges at the workflow level, not only in generated text.",Agent scaffolds expose capabilities hidden by model-only benchmarks.,Executive; decisional,Emergent,No generally binding agent authorization and accountability standard.,2026-08-11
M-07,False voting information and official-source substitution,Plausible answers can bypass content-centered safeguards.,Retrieval and citation quality vary by language and locale.,Epistemic; decisional,Partial,"Coverage is uneven across assistants, languages, and local elections.",2026-08-11
M-08,Synthetic impersonation and deceptive provenance,Generation is cheap; authenticity judgments shift to recipients and platforms.,"Text, audio, image, and video provenance have different robustness limits.",Epistemic; collective,Moderate but brittle,Provenance is removable and does not address truthful manipulation.,2026-08-11
M-09,Recommender amplification and engagement optimization,"The model can generate content, but distribution determines scale and exposure.",Capability measures must be combined with reach and recommender behavior.,Attentional; epistemic,Strongest in EU VLOP regime,Independent causal evidence and cross-platform exposure measures remain thin.,2026-08-11
M-10,Coordinated inauthentic behavior and account networks,Task decomposition enables industrialized but individually low-signal operations.,Agent throughput and cost affect feasible scale.,Attentional; collective,Operational but inconsistent,"Evasion through resellers, cross-platform migration, and legitimate activism.",2026-08-11
M-11,Closed messaging and cross-platform cascades,Delivery can be outsourced beyond visible platform surfaces.,Open models and external tools reduce central observability.,Epistemic; attentional,Weak / privacy constrained,Need privacy-preserving exposure and incident indicators.,2026-08-11
M-12,"Evidence loss, weak attribution, and delayed investigation","Without traces, composite failures cannot be reconstructed.",Version drift breaks longitudinal comparability.,Collective / institutional,Partial,No shared cross-layer chain-of-custody and retention standard.,2026-08-11
M-13,Assistant gatekeeping and answer-layer source concentration,A single synthesized answer obscures selection and omission decisions.,Better models may become a more trusted default interface.,Epistemic; attentional; decisional,Very weak,Media and platform law does not yet fully govern generative answer layers.,2026-08-11
M-14,Institutional deskilling and vendor dependence,Delegation moves judgment and operational knowledge outside the institution.,Capability gains increase incentives to substitute rather than augment expertise.,Collective / institutional; executive,Partial,No standard measures lost institutional judgment or decision authority.,2026-08-11
M-15,"Cross-stack concentration of compute, cloud, models, defaults, and data",Controller power determines which safeguards and evidence are available.,Capability concentration interacts with ownership and distribution.,Collective / institutional,Fragmented,Market share does not measure delegated decisions or control of information environments.,2026-08-11
M-16,"Overbroad mitigation, censorship, and state or incumbent capture",Safety classification can be wrong or strategically manipulated.,Centralized evaluation can entrench frontier providers and benchmark monoculture.,Collective; epistemic,Rights principles exist; implementation varies,Intervention evaluation rarely measures rights cost alongside risk reduction.,2026-08-11
