legal_id,instrument_framework,jurisdiction,legal_force,status,scope,material_exclusions,authority_owner,application_publication,source_id,direct_url,last_checked
L-001,EU Artificial Intelligence Act — Article 5 manipulation prohibitions,EU/EEA,Binding,Applicable since 2025-02-02,Binding prohibition only where the cumulative Article 5(1)(a) or (b) conditions are met; not a general ban on persuasion or political manipulation.,"Subtle cumulative influence may fail material-distortion, causation, or significant-harm thresholds.",European Commission; national market-surveillance authorities,2024-07-12 / phased application,SRC-111,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A02024R1689-20260727,2026-08-11
L-002,EU Artificial Intelligence Act — GPAI systemic-risk duties,EU/EEA,Binding,Applicable with phased enforcement,"Binding evaluation/adversarial testing, systemic-risk assessment and mitigation, serious-incident reporting and cybersecurity for GPAI with systemic risk; methods are not fixed to the Code or NIST.",No validated cumulative-agency metric or benchmark-to-release threshold; near misses are not automatically statutory serious incidents.,European AI Office,2024-07-12 / phased application,SRC-111,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A02024R1689-20260727,2026-08-11
L-003,General-Purpose AI Code of Practice,EU/EEA,Non-binding / voluntary,Operational voluntary compliance route,Voluntary means to demonstrate compliance with binding GPAI duties; alternative adequate means remain permitted.,Code commitments are not standalone statutory rights or duties and do not create a manipulation score-to-release threshold.,European Commission / AI Office,2025-07-10; current 2026-07-31,SRC-004,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,2026-08-11
L-004,EU AI Act Article 50 transparency duties and Code of Practice,EU/EEA,Binding,Applicable since 2026-08-02,Binding marking/disclosure duties; the supporting Code is voluntary. Article 50(2) pre-existing generators have a limited transition to 2026-12-02.,"Metadata can be stripped; provenance does not cover truthful personalized, conversational or relational influence.",European Commission; national authorities,2026-08-02; limited transition 2026-12-02,SRC-111,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A02024R1689-20260727,2026-08-11
L-005,"Digital Services Act Articles 25, 34–35, 37–40",EU/EEA,Binding,Applicable,"Article 25/27 platform duties plus VLOP/VLOSE-only Articles 34–35, 37–40. Electoral systemic-risk duties and non-profiled recommender choice are not platform-wide.","VLOP/VLOSE scope leaves many assistants, smaller services, and off-platform activity outside.",European Commission; Digital Services Coordinators,2022-10-19,SRC-025,https://eur-lex.europa.eu/eli/reg/2022/2065/oj/eng,2026-08-11
L-006,DSA election-risk guidelines and toolkit,EU/EEA,Non-binding / voluntary,Operational,"Election-specific risk assessment, recommender mitigation, generative AI, incident response, exercises, and post-election review.",Guidelines are not a standalone law; causal effectiveness remains under-evaluated.,European Commission,2024-03-26 / 2025 toolkit,SRC-003,https://digital-strategy.ec.europa.eu/en/library/guidelines-providers-vlops-and-vloses-mitigation-systemic-risks-electoral-processes,2026-08-11
L-007,Regulation on transparency and targeting of political advertising,EU/EEA,Binding,Fully applicable since 2025-10-10,"Defined political advertising only. Restricts personal-data targeting, prohibits special-category profiling and establishes a broader EU online repository architecture.","Organic influence, issue advocacy, proxies, and private conversational steering can evade ad classification.",European Commission; national authorities,2024-03-13 / 2025-10-10,SRC-030,https://eur-lex.europa.eu/eli/reg/2024/900/oj/eng,2026-08-11
L-008,General Data Protection Regulation,EU/EEA,Binding,In application,"Purpose limitation, minimization, transparency, profiling, rights, DPIAs, and portability for personal data.","Portability and deletion of inferred, embedded, or relational assistant state are unsettled.",Data-protection authorities; courts,2016-04-27,SRC-054,https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,2026-08-11
L-009,Digital Markets Act — Regulation (EU) 2022/1925,EU/EEA,Binding,In force; generally applicable since 2023-05-02,"Contestability and fairness duties for Commission-designated gatekeepers and the core platform services listed in their designation decisions; virtual assistants are expressly a core platform service. Relevant duties include defaults and user choice, interoperability, data access and portability, and restrictions on self-preferencing and combining or using data.","Core-platform-service status or being an AI assistant does not itself trigger duties: the undertaking and service must be designated. The DMA protects contestability and fairness, not manipulation or agency as such; limited suspension or exemption routes exist.",European Commission (sole enforcer; national authorities may support),Adopted 2022-09-14; OJ publication 2022-10-12; applies 2023-05-02,SRC-119,https://eur-lex.europa.eu/eli/reg/2022/1925/oj/eng,2026-08-13
L-010,EU Data Act,EU/EEA,Binding,In application,Cloud switching and interoperability duties; progressive removal of switching charges.,"Model, memory, embedding, agent, and evaluation portability remain incomplete.",European Commission; national authorities,2023-12-13,SRC-056,https://eur-lex.europa.eu/eli/reg/2023/2854/oj/eng,2026-08-11
L-011,European Media Freedom Act,EU/EEA,Binding,Most provisions applicable since 2025-08-08,"Media pluralism, independence, concentration assessment, and platform-media safeguards.",Generative answer-layer source selection and omission are not fully covered.,European Commission; European Board for Media Services,2024-04-11,SRC-062,https://eur-lex.europa.eu/eli/reg/2024/1083/oj/eng,2026-08-11
L-012,Council of Europe Framework Convention on AI,Council of Europe system,Binding — phased,Not yet in force as of 2026-08-11,"Adopted treaty text; EU ratified 2026-05-15, but Article 30 entry threshold remains unmet.",High-level duties require entry into force and domestic operationalization; private-sector coverage can vary by implementation choice.,Council of Europe; future parties,Opened 2024-09-05; EU ratified 2026-05-15,SRC-089,https://www.coe.int/en/web/Conventions/full-list/?module=signatures-by-treaty&treatynum=225,2026-08-11
L-013,HUDERIA methodology,International / Council of Europe,Non-binding / voluntary,Operational guidance,"Non-legally binding human-rights, democracy and rule-of-law assessment guidance.",Agency-transfer construct and longitudinal measures are not yet standardized.,Council of Europe,2024-11-28,SRC-066,https://rm.coe.int/cai-2024-16rev2-methodology-for-the-risk-and-impact-assessment-of-arti/1680b2a09f,2026-08-11
L-014,Brazil TSE Resolutions 23.610 and 23.755/2026,Brazil,Binding,Applicable to 2026 elections,"Synthetic-content rules, deepfake prohibition, anti-favoritism, recommender duties, plan/evidence obligations and a narrow corrective-promotion remedy; no general official-source-grounding duty.",The 72h/24h rule and assistant neutrality are unusually broad; same-reach correction is not a general right and effect evidence remains open.,Tribunal Superior Eleitoral,2026-03-02,SRC-049,https://www.tse.jus.br/legislacao/compilada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019,2026-08-11
L-015,FCC Telephone Consumer Protection Act declaratory ruling,United States,Binding,In force,AI-generated voices in robocalls are treated as artificial or prerecorded voices requiring consent and applicable disclosures.,"Does not cover every channel, truthful persuasion, or foreign/offshore operations.",Federal Communications Commission,2024-02-08,SRC-039,https://www.fcc.gov/document/fcc-makes-ai-generated-voices-robocalls-illegal,2026-08-11
