relation_id,implementation_id,gap_id,relation,materiality,notes
IG-001,I-031,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-002,I-035,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-003,I-090,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-004,I-101,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-005,I-107,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-006,I-108,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-007,I-110,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-008,I-111,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-009,I-117,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-010,I-118,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-011,I-119,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-012,I-120,G-01,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-013,I-005,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-014,I-006,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-015,I-009,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-016,I-010,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-017,I-011,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
IG-018,I-012,G-02,Validation / evidence gap,Critical,Gap mapping constrains claims and decision tier; it is not evidence of control effectiveness.
