implementation_id,control_family_id,legacy_ids,intervention,layer,instrument_class,operative_instrument_legal_basis,implementer,jurisdiction,legal_force,legal_status,legal_scope_correction,operational_maturity,mechanism_targeted,causal_chain_point,agency_domain,primary_evidence_basis,mechanism_evidence_tier,intervention_effect_evidence,claim_class,expected_effect,main_failure_evasion,rights_trade_offs,metric,decision_tier,decision_rationale,horizon_date,part_1_linkage,part_2_linkage,last_reviewed,notes,family_name,mechanism_ids,context_entity_ids,research_gap_ids,claim_ids,effect_claim_ids,legal_claim_ids,mechanism_claim_ids,source_ids,policy_package_ids,effect_claim_checked,legal_claim_checked,mechanism_claim_checked,effect_claim_reviewed,priority_effect_review_outcomes,priority_effect_publication_actions,publication_claim_class,publication_status
I-001,CF-001,P4-001,Root-purpose provenance across multi-agent handoffs,Agent / deployment,Procurement,"Agent protocol, audit standard, procurement clause","Agent providers, deployers, auditors, public procurers",Cross-jurisdictional,Research,Research proposal,Research proposal,Pilot,"Bind every delegated subtask, tool call, generated artifact, and terminal action to a signed root-purpose record, with explicit scope changes and controller identity.",Capability → controller → delegated vector,Executive; decisional; collective / institutional,Project — confirmatory mechanism,Project-C,None — mechanism or proposal only,Established — project mechanism,Makes harmful composition inspectable and prevents local compliance from substituting for end-to-end purpose review.,False or vague root purposes; off-ledger work; laundering through external tools; excessive retention of sensitive prompts.,"Minimize retained content, separate oversight metadata from message content, and provide due process for contested classifications.",Share of consequential actions traceable to an unchanged root purpose; undocumented scope-change rate; reviewer agreement.,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,Confirmatory mechanism,Contextual capability link,2026-08-11,Canonical project URL recorded in v0.3 Sources; policy effect remains untested.,Root-purpose provenance across multi-agent handoffs,M-01; M-06; M-08; M-14; M-16,,G-03,CLM-0001; CLM-0002,CLM-0002,,CLM-0001,SRC-001,P02,false,false,false,false,,,Provisional — project mechanism not claim-checked,research_preview
I-002,CF-002,P4-002,Workflow-level global guard before consequential completion,Agent / deployment,Law / regulation,"Deployment rule, safety case control, high-impact action gate","Agent providers, platforms, campaigns, public deployers",Cross-jurisdictional,Research,Research proposal,Research proposal,Pilot,"Evaluate the cumulative plan, intermediate artifacts, recipient, scale, target, and foreseeable downstream use immediately before a consequential action is executed.",Vector → target → consequential action,Executive; decisional,Project — confirmatory mechanism,Project-C,None — mechanism or proposal only,Established — project mechanism,Restores end-to-end review at the point where reversible assistance becomes real-world harm.,Action splitting below thresholds; external execution; warning fatigue; evaluator-model collusion or shared blind spots.,"Use risk-based triggers, clear appeal, minimal delay, and protected space for lawful political participation.",Blocked harmful completions; unnecessary interruption rate; bypass cost; latency; successful appeal rate.,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,Confirmatory mechanism,Contextual capability link,2026-08-11,Should be evaluated against intentionally fragmented benign-looking workflows.,Workflow-level global guard before consequential completion,M-01; M-06; M-16,,G-03,CLM-0003; CLM-0004,CLM-0004,,CLM-0003,SRC-001,P02,false,false,false,false,,,Provisional — project mechanism not claim-checked,research_preview
I-003,CF-003,P4-003,Machine-readable authorization boundaries and least privilege for agents,Agent / deployment,Procurement,"Technical standard, product-safety duty, procurement clause","Standards bodies, agent providers, deployers, regulators",Cross-jurisdictional,Research,Research proposal,Research proposal with standards precedents,Pilot,"Express purpose, permitted tools, targets, data, spend, duration, audience, and escalation conditions as enforceable grants; require renewed confirmation for high-impact deviations.",Controller → vector,Executive; decisional; institutional,Project — exploratory,Project-X,None — mechanism or proposal only,Plausible hypothesis,Preserves meaningful delegation while preventing quiet expansion of an agent's authority.,Overbroad default grants; consent fatigue; compromised credentials; delegation to ungoverned agents.,"Avoid identity requirements for low-risk use and make authorization legible, revocable, and accessible.",Unauthorized-action rate; median permission scope; revocation time; percentage of consequential actions explicitly confirmed.,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,Exploratory link,Contextual capability link,2026-08-11,Combine with root-purpose provenance; permissions without purpose can still authorize harmful composition.,"Agent authorization, least privilege and action control",M-01; M-06; M-14,C-06,G-03,CLM-0005; CLM-0006,CLM-0006,,CLM-0005,SRC-002,P02,false,false,false,false,,,Plausible hypothesis,research_preview
I-004,CF-004,P4-004,Tamper-evident workflow traces and election evidence preservation,Cross-layer,Coordination / incident response,"Recordkeeping duty, incident protocol, audit standard","Labs, agent providers, platforms, electoral authorities",Cross-jurisdictional,Research,Research proposal,Research proposal with DSA and incident-reporting precedents,Research,"Record model/version, controller, root purpose, tool permissions, consequential actions, delivery endpoints, and intervention events in privacy-preserving tamper-evident logs with legal hold and researcher-access paths.",Change → agency transfer → accountability,Collective / institutional; epistemic,Project — exploratory,Project-X,Indirect / mixed,Plausible hypothesis,"Makes investigation, remedy, independent audit, and policy learning possible after fast-moving incidents.","Encrypted channels, offshore actors, log tampering, excessive data capture, selective retention.","Strict purpose limitation, access controls, retention limits, legal process, and protection of journalists and political association.",Evidence completeness; preservation latency; chain-of-custody failures; validated external access requests.,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,Exploratory link,No direct link,2026-08-11,Do not equate logging with indiscriminate surveillance.,Tamper-evident workflow traces and election evidence preservation,M-01; M-06; M-11; M-12; M-13,,G-03; G-08; G-13,CLM-0007; CLM-0008,CLM-0008,,CLM-0007,SRC-003,P02; P13,false,false,false,false,,,Plausible hypothesis,research_preview
I-005,CF-005,P4-005,Longitudinal APE–MASK–manipulation evaluation suite,Model / provider,Research / evaluation,Independent TEVV protocol and pre-release assurance,"Providers, AI safety institutes, accredited researchers",Cross-jurisdictional,Research,Research proposal,Core research proposal,Pilot,"Run a staged evaluation from harmful-persuasion propensity and pressured deception to contextual efficacy, adaptive attacks, agent scaffolds, personalization, and 7-, 30-, and 90-day agency outcomes.",Capability → vector → target → change,Evaluative; decisional; relational,Normative proposal,E0,None — mechanism or proposal only,Plausible hypothesis,"Separates propensity, deception, efficacy, durability, safeguard robustness, and deployment scale.","Benchmark gaming, contamination, narrow languages, evaluator bias, unsafe disclosure, and weak ecological validity.","Ethics review, participant protection, controlled access to dangerous artifacts, and publication of aggregate rather than operational misuse details.","Attempt, honesty, efficacy, persistence, reversal, robustness, and reach-adjusted risk with confidence intervals.",Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,No direct link,Contextual capability link,2026-08-11,Scores must not be treated as validated democratic-harm thresholds until construct and outcome validity are established.,Longitudinal APE–MASK–manipulation evaluation suite,M-04; M-05; M-06; M-12,,G-02; G-04; G-06; G-12,CLM-0009; CLM-0010,CLM-0010,,CLM-0009,SRC-004,P03,false,false,true,false,,,Plausible hypothesis,research_preview
I-006,CF-006,P4-006,Manipulation capability–reach threshold tied to release and deployment decisions,Cross-layer,Policy / organizational control,"Delegated regulatory threshold, release gate, election-risk trigger","AI Office, electoral authorities, safety institutes, providers",EU pilot; internationally adaptable,Research,Research proposal,Core research proposal,Research,"Combine validated manipulation capability, safeguard robustness, release reversibility, personalization, tool access, likely reach, and election timing into graduated obligations.",Capability → controller → vector → scale,Evaluative; decisional; collective / institutional,Normative proposal,E0,None — mechanism or proposal only,Open question,Connects research evidence to consequential policy action while scaling controls to actual risk and reversibility.,"Threshold gaming, metric monoculture, offshore release, rapid derivative models, and over-restriction of open research.","Multiple independent measures, appeal, periodic recalibration, public methodology, and protected research access.",False-negative and false-positive designation rates; time to mitigation; residual reach-adjusted risk; circumvention.,Research / hold,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Research — 6–30 months,No direct link,Contextual capability link,2026-08-11,Central unanswered policy question of Part 4.,Manipulation capability-to-deployment decision logic,M-02; M-05; M-06; M-12; M-14,,G-02; G-12,CLM-0011; CLM-0012,CLM-0012,,CLM-0011,SRC-004,,false,false,true,false,,,Open question,research_preview
I-007,CF-007,P4-007,Election access-risk observatory for frontier and open-weight releases,Electoral operations,Research / evaluation,"Public-interest observatory, secure evidence repository","Universities, AI safety institutes, electoral networks, repositories",International,Research,Research proposal,Research and preparedness proposal,Pilot,"Track release dates, access modality, derivatives, safeguard state, language coverage, campaign tooling, election windows, and incident signals without publishing reproducible misuse pathways.",Capability → controller → vector → target,Collective / institutional; epistemic,Normative proposal,None,None — mechanism or proposal only,Plausible hypothesis,"Identifies when a capability change should trigger tabletop exercises, platform contacts, monitoring, or independent tests.","Incomplete model coverage, hidden derivatives, jurisdictional gaps, stigmatizing open models, and unsafe detail leakage.","Publish risk indicators and methods, not targeting recipes, exploit prompts, or sensitive actor attribution without due process.",Release coverage; verification lag; election-window alerts; interventions initiated; false alarms.,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,No direct link,Contextual capability link,2026-08-11,"A suitable later candidate for a cleaned, versioned public dataset.",Open-weight and election-window observability,M-02; M-03; M-12; M-13; M-14,C-02,G-05; G-13,CLM-0013; CLM-0014,CLM-0014,,CLM-0013,SRC-005,P05; P13,false,false,false,false,,,Plausible hypothesis,research_preview
I-008,CF-008,P4-008,Official-source grounding for verifiable election-administration facts,Electoral operations,Technical standard / product control,"Platform and assistant duty, electoral protocol","Election authorities, assistants, search and social platforms",National; Brazil provides a binding operational precedent,Proposed,Proposed / pending,No general Brazilian official-source-grounding duty; product control proposed for verifiable election-administration facts.,Pilot,"Ground answers about registration, eligibility, polling places, voting procedures and certified results in current authoritative election sources, with citations and escalation when sources conflict.",Vector → target → belief or behavior change,Epistemic; decisional; collective / institutional,Normative proposal,None,Direct component evidence,Established — component effect,Reduces preventable administrative disenfranchisement and makes correction operational rather than merely declaratory.,"Delayed official data, fabricated citations, cross-platform migration, correction backfire, and unequal reach.",Confine authoritative grounding to verifiable election administration facts; do not convert it into viewpoint control.,Grounding accuracy; latency; correction reach ratio; belief correction; turnout-information error rate.,Pilot,Low-regret component with bounded evidence; monitor transfer and rights costs.,Pilot — 6–18 months,No direct link,No direct link,2026-08-11,Normative product control. Brazil 2026 does not impose a general official-source-grounding duty; the separate corrective-reach remedy remains in P4-076.,Official-source grounding for verifiable election-administration facts,M-07; M-11; M-13; M-14,C-05; D-01,G-06; G-10; G-12,CLM-0015; CLM-0016,CLM-0016,,CLM-0015,,,false,false,false,true,Unsupported as written,Downgrade to Strong inference,Provisional — effect evidence not claim-checked,research_preview
I-009,CF-006,P4-009,Proposed capability-plus-reach systemic-risk trigger,Model / provider,Law / regulation,Policy proposal informed by AI Act Article 51 and Annex XIII,European Commission and AI Office,EU,Proposed,Proposed / pending,Policy proposal; not the current EU designation rule,Research,"Propose a second policy screen combining measured capability with reach, tool access, scalability and release modality; do not treat this as the current AI Act Article 51 rule.",capability growth → frontier provider → model or API → population and institutions → scalable influence → agency transfer to provider or operator,Executive; Collective / institutional,Normative proposal,E0,None — mechanism or proposal only,Plausible hypothesis,"Avoids relying only on FLOP thresholds and can capture highly persuasive, agentic or widely distributed models below a compute threshold",Capability tests can be gamed; designation may lag releases; regulatory uncertainty and threshold gaming,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Share of frontier-equivalent models designated; time from capability evidence to designation; false-negative rate,Research / hold,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Research — 6–30 months,No direct link,Contextual capability link,2026-08-11,"Article 51 uses alternative routes—high-impact capability or Commission designation. Reach and users are Annex XIII factors, not a second mandatory trigger.",Manipulation capability-to-deployment decision logic,M-02; M-06; M-14; M-16,,G-02,CLM-0017; CLM-0018,CLM-0018,,CLM-0017,SRC-007,,false,false,false,false,,,Plausible hypothesis,research_preview
I-010,CF-010,P4-010,Harmful manipulation as a specified systemic-risk domain,Model / provider,Policy / organizational control,regulated systemic-risk taxonomy,AI Office and GPAI systemic-risk providers,EU,Voluntary / private,Operational voluntary,implemented through AI Act compliance practice,Operational,"Require identification and assessment of persuasion, deception and personalised targeting in multi-turn, high-stakes contexts",persuasive capability → provider or malicious user → personalised dialogue → voter or decision-maker → covert belief or behaviour change → agency transfer → democratic harm,Epistemic; Evaluative; Decisional; Collective / institutional,Normative proposal,E0,Indirect / mixed,Plausible hypothesis,Makes manipulation a first-class frontier risk rather than treating it only as misinformation or content safety,"Severe-scale threshold may omit cumulative agency loss, local elections, synthetic intimacy and minority targeting","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","Percentage of systemic-model reports with manipulation threat models, evaluations, mitigations and residual-risk findings",Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,Contextual capability link,2026-08-11,"This is the clearest legal destination for the APE, MASK and election red-team artefacts developed in Parts 1–2.",GPAI harmful-manipulation systemic-risk governance,M-03; M-04; M-05; M-08; M-12,,G-02,CLM-0019; CLM-0020; CLM-0021,CLM-0021,CLM-0019,CLM-0020,SRC-004,,false,false,true,false,,,Plausible hypothesis,research_preview
