relation_id,implementation_id,claim_id,claim_role,relevance,notes
ICL-0001,I-001,CLM-0001,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0002,I-001,CLM-0002,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0003,I-002,CLM-0003,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0004,I-002,CLM-0004,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0005,I-003,CLM-0005,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0006,I-003,CLM-0006,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0007,I-004,CLM-0007,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0008,I-004,CLM-0008,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0009,I-005,CLM-0009,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0010,I-005,CLM-0010,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0011,I-006,CLM-0011,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0012,I-006,CLM-0012,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0013,I-007,CLM-0013,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0014,I-007,CLM-0014,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0015,I-008,CLM-0015,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0016,I-008,CLM-0016,Adjacent component evidence,Contextual,Static election-security message experiments support bounded survey outcomes; they are indirect evidence for assistant grounding and do not test voting access or disenfranchisement.
ICL-0017,I-009,CLM-0017,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0018,I-009,CLM-0018,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0019,I-010,CLM-0019,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0020,I-010,CLM-0020,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0021,I-010,CLM-0021,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0022,I-011,CLM-0022,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0023,I-011,CLM-0023,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0024,I-012,CLM-0024,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0025,I-012,CLM-0025,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0026,I-012,CLM-0026,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0027,I-013,CLM-0027,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0028,I-013,CLM-0028,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0029,I-014,CLM-0029,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0030,I-014,CLM-0030,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0031,I-014,CLM-0031,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0032,I-015,CLM-0032,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0033,I-015,CLM-0033,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0034,I-015,CLM-0034,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0035,I-016,CLM-0035,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0036,I-016,CLM-0036,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0037,I-017,CLM-0037,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0038,I-017,CLM-0038,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0039,I-018,CLM-0039,Legal basis,Core,Legal status never implies control effectiveness.
