relation_id,implementation_id,mechanism_id,relation,evidence_basis,claim_class,notes
IM-001,I-001,M-01,Mitigates / observes,Project — confirmatory mechanism,Established — project mechanism,Rule-based v0.3 mapping; review during publication freeze.
IM-002,I-001,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-003,I-001,M-08,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-004,I-001,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-005,I-001,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-006,I-002,M-01,Mitigates / observes,Project — confirmatory mechanism,Established — project mechanism,Rule-based v0.3 mapping; review during publication freeze.
IM-007,I-002,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-008,I-002,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-009,I-003,M-01,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-010,I-003,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-011,I-003,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-012,I-004,M-01,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-013,I-004,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-014,I-004,M-11,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-015,I-004,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-016,I-004,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-017,I-005,M-04,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-018,I-005,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-019,I-005,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-020,I-005,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-021,I-006,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-022,I-006,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-023,I-006,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-024,I-006,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-025,I-006,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-026,I-007,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-027,I-007,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-028,I-007,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-029,I-007,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-030,I-007,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-031,I-008,M-07,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-032,I-008,M-11,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-033,I-008,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-034,I-008,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-035,I-009,M-02,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-036,I-009,M-06,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-037,I-009,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-038,I-009,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-039,I-010,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-040,I-010,M-04,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-041,I-010,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-042,I-010,M-08,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-043,I-010,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-044,I-011,M-03,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-045,I-011,M-04,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-046,I-011,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-047,I-011,M-14,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-048,I-011,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-049,I-012,M-10,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-050,I-012,M-12,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-051,I-012,M-13,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-052,I-012,M-16,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
IM-053,I-013,M-05,Mitigates / observes,Analytical crosswalk,Strong inference,Rule-based v0.3 mapping; review during publication freeze.
