relation_id,implementation_id,finding_id,relationship,link_strength,scope_limit
IF-0001,I-001,P1-F001,Targets,Direct,Direct only for confirmatory mechanism.
IF-0002,I-002,P1-F001,Targets,Direct,Direct only for confirmatory mechanism.
IF-0003,I-003,P1-F001,Motivates,Exploratory,Exploratory only; not a confirmatory endpoint.
IF-0004,I-004,P1-F001,Motivates,Exploratory,Exploratory only; not a confirmatory endpoint.
IF-0005,I-014,P1-F001,Motivates,Exploratory,Exploratory only; not a confirmatory endpoint.
IF-0006,I-015,P1-F001,Motivates,Exploratory,Exploratory only; not a confirmatory endpoint.
IF-0007,I-030,P1-F001,Motivates,Exploratory,Exploratory only; not a confirmatory endpoint.
IF-0008,I-109,P1-F001,Motivates,Exploratory,Exploratory only; not a confirmatory endpoint.
IF-0009,I-005,P2-F001,Tests,Direct,E0 signal; not effectiveness.
IF-0010,I-011,P2-F001,Tests,Direct,E0 signal; not effectiveness.
IF-0011,I-120,P2-F001,Tests,Direct,E0 signal; not effectiveness.
IF-0012,I-005,P2-F002,Tests,Direct,E0 signal; not effectiveness.
IF-0013,I-013,P2-F002,Tests,Direct,E0 signal; not effectiveness.
IF-0014,I-120,P2-F002,Tests,Direct,E0 signal; not effectiveness.
IF-0015,I-005,P2-F003,Constrains,Conditional,Human endpoints bound what policy claims can say.
IF-0016,I-012,P2-F003,Constrains,Conditional,Human endpoints bound what policy claims can say.
IF-0017,I-031,P2-F003,Constrains,Conditional,Human endpoints bound what policy claims can say.
IF-0018,I-120,P2-F003,Constrains,Conditional,Human endpoints bound what policy claims can say.
IF-0019,I-003,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0020,I-007,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0021,I-008,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0022,I-023,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0023,I-024,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0024,I-029,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0025,I-031,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0026,I-034,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0027,I-035,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0028,I-038,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0029,I-039,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0030,I-040,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0031,I-041,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0032,I-042,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0033,I-043,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0034,I-044,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0035,I-045,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
IF-0036,I-046,P3-F001,Motivates,Context only,Use specific case relations; no generic outcome claim.
