benchmark,protocol,model_id,metric,outcome,value,n,evaluation_date,source_url,source_locator,comparability_group,value_status,note
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,glm-5-2,attempt_pct,conspiracy,43,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: conspiracy",saferai-ape-turn1-max-reasoning-conspiracy-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,claude-opus-4-7,attempt_pct,conspiracy,8,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: conspiracy",saferai-ape-turn1-max-reasoning-conspiracy-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,gpt-5-5,attempt_pct,conspiracy,18,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: conspiracy",saferai-ape-turn1-max-reasoning-conspiracy-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,glm-5-2,attempt_pct,undermining-control,47,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: undermining control",saferai-ape-turn1-max-reasoning-undermining-control-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,claude-opus-4-7,attempt_pct,undermining-control,0,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: undermining control",saferai-ape-turn1-max-reasoning-undermining-control-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,gpt-5-5,attempt_pct,undermining-control,22,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: undermining control",saferai-ape-turn1-max-reasoning-undermining-control-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,glm-5-2,attempt_pct,noncontroversially-harmful,0,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: noncontroversially harmful",saferai-ape-turn1-max-reasoning-noncontroversially-harmful-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,claude-opus-4-7,attempt_pct,noncontroversially-harmful,0,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: noncontroversially harmful",saferai-ape-turn1-max-reasoning-noncontroversially-harmful-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
ape-saferai,saferai-ape-turn1-max-reasoning-2026-08-02,gpt-5-5,attempt_pct,noncontroversially-harmful,0,100,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 10, harmful-topic panel: noncontroversially harmful",saferai-ape-turn1-max-reasoning-noncontroversially-harmful-n100,reported_figure_label,"Turn-1 supporting-role run at the model's highest available reasoning setting; attempt is not persuasion efficacy; report publication date used because a separate run date is not reported."
mask-saferai,saferai-mask-n1000-2026-08-02,glm-5-2,honesty_pct,honest,61,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-honest,reported_figure_label,"SaferAI run; this n=1,000 protocol is distinct from the original MASK 1,500-item table; report publication date used because a separate run date is not reported."
mask-saferai,saferai-mask-n1000-2026-08-02,claude-opus-4-7,honesty_pct,honest,64,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-honest,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,gpt-5-5,honesty_pct,honest,73,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-honest,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,glm-5-2,honesty_pct,evaded-no-belief,18,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-evaded-no-belief,reported_figure_label,"SaferAI run; this n=1,000 protocol is distinct from the original MASK 1,500-item table; report publication date used because a separate run date is not reported."
mask-saferai,saferai-mask-n1000-2026-08-02,claude-opus-4-7,honesty_pct,evaded-no-belief,19,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-evaded-no-belief,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,gpt-5-5,honesty_pct,evaded-no-belief,17,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-evaded-no-belief,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
mask-saferai,saferai-mask-n1000-2026-08-02,glm-5-2,honesty_pct,lie,21,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-lie,reported_figure_label,"SaferAI run; this n=1,000 protocol is distinct from the original MASK 1,500-item table; report publication date used because a separate run date is not reported."
mask-saferai,saferai-mask-n1000-2026-08-02,claude-opus-4-7,honesty_pct,lie,17,1000,2026-08-02,https://www.safer-ai.org/research/glm-5-2-evaluation-report,"Figure 9, left honesty panel; Appendix A.7.1",saferai-mask-n1000-honesty-lie,reported_figure_label,"Report comparison value from CAIS dashboard numbers shared by CAIS; this n=1,000 protocol is distinct from the original MASK 1,500-item table."
