package_id,policy_package,implementation_ids,why_now,evidence_basis,lead_actor,horizon,success_metric,failure_mode,working_register_decision_tier,publication_decision_posture
G0,"Rights, due process and anti-capture floor",I-024; I-033; I-035; I-065; I-082; I-090; I-091; I-096; I-101; I-117; I-118,"No control proceeds without legality, necessity, proportionality, appeal, independent oversight and anti-incumbent safeguards.",Rights baseline established; control effectiveness must be measured separately.,Courts; regulators; election authorities; independent oversight,Immediate and continuous,Appeal success; false-positive burden; speech/association costs; concentration effects,"Safety policy becomes censorship, surveillance or incumbent protection.",Implement now,not_assessed
P01,Enforce existing model transparency and systemic-risk duties,I-014; I-018; I-019; I-024; I-027; I-028; I-029; I-032; I-033; I-052; I-095,Applicable legal duties exist; methods and effect evidence remain uneven.,L3 legal status; effect evidence mostly absent.,AI Office; national authorities; providers,Now,Scope-correct compliance; incidents; independent access; rights cost,Voluntary methods are mislabeled as law or paperwork is coded as effectiveness.,Enforce now,not_assessed
P02,Agent authority and workflow accountability,I-001; I-002; I-003; I-004; I-015; I-030; I-109,Part 1 identifies a compositional failure mechanism that prompt-level controls miss.,Project-C for purpose fragmentation; policy effect untested.,Agent providers; standards bodies; public procurers,6–18 months,Unauthorized action; undocumented scope change; bypass cost; false positive; latency,Logging becomes surveillance or purpose records are spoofed.,Pilot,not_assessed
P03,Human-causal manipulation TEVV,I-005; I-012; I-014; I-015; I-018; I-031; I-120,"Controlled evidence reaches E2, but not vote choice, dependency, naturalistic reach or agency transfer.",E0–E2 capability/mechanism evidence; no validated democratic-harm gate.,Independent labs; providers; safety institutes,6–24 months,"Attitude, persistence, low-cost action, reversal, exposure and rights costs",Model scores substitute for human outcomes or unsafe artifacts are over-disclosed.,Pilot,not_assessed
P04,"APE and MASK as diagnostics, not release gates",I-011; I-013,"Both measure model signals, not human persuasion, manipulation or agency transfer.",E0 only.,Evaluators; benchmark authors,Research,Reliability across model variants; correlation with human outcomes,A single score becomes a false-precision prohibition.,Research / hold,not_assessed
P05,Release modality and open-weight governance,I-007; I-022; I-025; I-026; I-027; I-028; I-029,"Release changes modifiability, monitoring and reversibility; no general EU open-weight licence exists.",Strong inference; direct policy-effect evidence absent.,AI Office; repositories; providers; competition experts,6–18 months,Residual risk by modality; derivative coverage; misuse; research/competition cost,Blanket licensing entrenches closed incumbents or pushes activity offshore.,Pilot,not_assessed
P06,EU platform and election-risk enforcement,I-042; I-043; I-044; I-045; I-046; I-047; I-048; I-053; I-054; I-084; I-092; I-094,"Binding DSA scopes exist, but VLOP/VLOSE limits must be explicit.",L3 legal status; causal effectiveness mixed.,European Commission; DSCs; VLOPs/VLOSEs,Now,Mitigation closure; access latency; audit findings; recommender choice quality,Guidance is treated as law or smaller/off-platform systems disappear from analysis.,Enforce now,not_assessed
P07,Political-ad transparency and microtargeting constraints,I-045; I-049; I-050; I-051; I-056; I-059; I-069; I-078; I-081,This is the clearest direct lesson from Cambridge Analytica and was underweighted in v0.2.,L3 legal status plus historical governance evidence.,Election regulators; platforms; data-protection authorities,Now,Sponsor/targeting completeness; proxy-sensitive segments; repository latency; consent validity,"Organic, proxy or conversational steering evades ad definitions.",Enforce now,not_assessed
P08,Brazil 2026 prospective implementation study,I-070; I-071; I-072; I-073; I-074; I-075; I-076; I-077; I-078; I-079; I-080; I-081,"The rules are unusually concrete and time-bound, but filing is not effectiveness.",L3 legal status; outcomes not yet observable on 2026-08-11.,TSE; covered providers; independent researchers,2026-08-16 to 2026-12-19,Plan quality; implementation; exposure; latency; appeal; rights cost,Compliance documents are mistaken for impact or vote effects are inferred from virality.,Enforce now,not_assessed
P09,Layered authenticity and impersonation controls,I-029; I-052; I-058; I-060; I-061; I-062; I-063; I-064; I-070; I-071; I-072; I-073,Useful for impersonation and synthetic-media incidents; inadequate for truthful or conversational manipulation.,Mixed component evidence and selected binding duties.,Providers; platforms; carriers; election authorities,Now,Credential retention; authentication speed; label comprehension; correction latency,"Provenance is stripped, warnings create false confidence, or legitimate uses are chilled.",Enforce / implement,not_assessed
P10,"Assistant memory, loyalty and steering controls",I-031; I-074; I-086; I-087; I-107; I-108; I-109; I-110; I-111; I-119,This is central to agency transfer but the longitudinal and human-uptake evidence is thin.,E1–E2 components; general duties unvalidated.,Consumer/competition regulators; providers; independent auditors,6–24 months,Conflict rate; switching; unassisted persistence; contestability; dependence; user welfare,Disclosure theatre or paternalistic substitution of provider values.,Pilot,not_assessed
P11,Institutional independence and procurement exit,I-034; I-090; I-098; I-099; I-100; I-102; I-112,Agency transfer can occur inside government without manipulative content.,Operational precedents; democratic effects under-measured.,Public procurers; audit bodies; internal technical teams,0–18 months,Tested exit; internal competence; supplier concentration; continuity; appeal,Registers become paperwork while institutions lose judgment and bargaining power.,Implement now,not_assessed
P12,Concentration and contestability,I-038; I-039; I-040; I-088; I-089; I-097; I-103; I-104; I-106; I-113; I-114; I-115; I-119,"Control over defaults, compute, cloud, models and answer layers can concentrate democratic power.",Market evidence stronger than agency-transfer measurement.,Competition authorities; DMA/DSA authorities; public investors,0–24 months,Switching; default share; source concentration; delegated decisions; cross-stack control,Market share is mistaken for agency transfer or structural remedies outrun evidence.,Monitor / enforce existing,not_assessed
P13,Incident coordination and independent evidence,I-004; I-007; I-016; I-026; I-040; I-041; I-046; I-054; I-055; I-065; I-066; I-067; I-068; I-079; I-094; I-116,Fast incidents outpace post-election research; evidence access is a bottleneck.,Operational precedent; effect varies by integration and trust.,Election bodies; platforms; researchers; civil society,Now,Evidence preservation; response latency; access; false alerts; correction reach,Cross-platform and closed-channel evidence remains inaccessible.,Implement now,not_assessed
P14,Constitutional-significance and democratic-authorization threshold,I-111; I-117; I-118; I-119,"The concept may matter, but no validated threshold identifies when an assistant becomes constitutional infrastructure.",Open question.,Interdisciplinary research; legislatures; constitutional bodies,12–30 months,Construct validity; procedural legitimacy; false inclusion/exclusion,Premature legislation freezes a vague concept or enables incumbent/state capture.,Research / hold,not_assessed
