relation_id,implementation_id,entity_id,relation,claim_class,notes
IC-001,I-042,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-002,I-043,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-003,I-044,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-004,I-045,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-005,I-046,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-006,I-047,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-007,I-048,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-008,I-053,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-009,I-054,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-010,I-055,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-011,I-075,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-012,I-076,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-013,I-077,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-014,I-079,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-015,I-092,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-016,I-094,C-01,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-017,I-007,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
IC-018,I-042,C-02,Mechanism / control lesson,Established — case existence,Case supports mechanism or implementation design; it does not by itself establish electoral-outcome causality.
