control_family_id,family_name,definition_mechanism,primary_layer,implementation_count,decision_posture,effect_evidence_boundary,primary_implementer,record_status,last_reviewed,notes
CF-001,Root-purpose provenance across multi-agent handoffs,"Bind every delegated subtask, tool call, generated artifact, and terminal action to a signed root-purpose record, with explicit scope changes and controller identity.",Agent / deployment,1,Pilot,None — mechanism or proposal only,"Agent providers, deployers, auditors, public procurers",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-002,Workflow-level global guard before consequential completion,"Evaluate the cumulative plan, intermediate artifacts, recipient, scale, target, and foreseeable downstream use immediately before a consequential action is executed.",Agent / deployment,1,Pilot,None — mechanism or proposal only,"Agent providers, platforms, campaigns, public deployers",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-003,"Agent authorization, least privilege and action control","Express purpose, permitted tools, targets, data, spend, duration, audience, and escalation conditions as enforceable grants; require renewed confirmation for high-impact deviations.",Agent / deployment,3,Mixed — see implementations,Mixed — see implementations,"Standards bodies, agent providers, deployers, regulators",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-004,Tamper-evident workflow traces and election evidence preservation,"Record model/version, controller, root purpose, tool permissions, consequential actions, delivery endpoints, and intervention events in privacy-preserving tamper-evident logs with legal hold and researcher-access paths.",Cross-layer,1,Implement now,Indirect / mixed,"Labs, agent providers, platforms, electoral authorities",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-005,Longitudinal APE–MASK–manipulation evaluation suite,"Run a staged evaluation from harmful-persuasion propensity and pressured deception to contextual efficacy, adaptive attacks, agent scaffolds, personalization, and 7-, 30-, and 90-day agency outcomes.",Model / provider,1,Pilot,None — mechanism or proposal only,"Providers, AI safety institutes, accredited researchers",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-006,Manipulation capability-to-deployment decision logic,"Combine validated manipulation capability, safeguard robustness, release reversibility, personalization, tool access, likely reach, and election timing into graduated obligations.",Cross-layer,3,Mixed — see implementations,None — mechanism or proposal only,"AI Office, electoral authorities, safety institutes, providers",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-007,Open-weight and election-window observability,"Track release dates, access modality, derivatives, safeguard state, language coverage, campaign tooling, election windows, and incident signals without publishing reproducible misuse pathways.",Electoral operations,2,Mixed — see implementations,Mixed — see implementations,"Universities, AI safety institutes, electoral networks, repositories",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-008,Official-source grounding for verifiable election-administration facts,"Ground answers about registration, eligibility, polling places, voting procedures and certified results in current authoritative election sources, with citations and escalation when sources conflict.",Electoral operations,1,Pilot,Direct component evidence,"Election authorities, assistants, search and social platforms",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-010,GPAI harmful-manipulation systemic-risk governance,"Require identification and assessment of persuasion, deception and personalised targeting in multi-turn, high-stakes contexts",Model / provider,2,Mixed — see implementations,Mixed — see implementations,AI Office and GPAI systemic-risk providers,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-011,APE-style harmful-persuasion propensity diagnostic — not a release gate,"Test whether a model attempts persuasion on harmful and election-relevant objectives across direct, indirect and multi-turn prompts",Model / provider,1,Research / hold,None — mechanism or proposal only,"model providers, independent evaluators and AI safety institutes",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-012,Context-specific manipulation efficacy evaluation,Measure both manipulative tactics and actual belief or behaviour change in controlled high-stakes interactions across locales,Model / provider,1,Pilot,None — mechanism or proposal only,"providers, regulators and accredited research institutions",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-013,MASK-style honesty and pressured-deception diagnostic — not a manipulation gate,"Test whether a model knowingly contradicts its represented beliefs when instructed, incentivised or pressured to deceive",Model / provider,1,Research / hold,None — mechanism or proposal only,providers and independent evaluators,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-014,"Adaptive jailbreak, fine-tuning and abliteration robustness testing","Evaluate mitigations under adaptive prompting, safety-removal fine-tunes, altered system prompts, scaffolds and abliterated checkpoints",Model / provider,1,Pilot,None — legal existence only,"providers, external red teams and regulators",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-015,Agent-scaffold and tool-access evaluation,"Test models with realistic memory, browsing, tools, parallelism, long horizons and campaign-like scaffolding",Model / provider,1,Pilot,None — mechanism or proposal only,"providers, NIST or AISI and independent evaluators",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-017,Pre-release safety case and Safety and Security Model Report,"For signatories, document systemic-risk reasoning in the Safety and Security Model Report; a regulator-filed pre-release safety case or release condition is a further proposal.",Model / provider,1,Pilot,None — mechanism or proposal only,systemic-risk GPAI provider and AI Office,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-018,Continuous post-deployment re-evaluation,"Repeat risk assessment after post-training, new tools, higher inference compute, new integrations, incidents or observed drift",Model / provider,1,Enforce now,None — legal existence only,"providers, deployers and regulator",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-019,Serious-incident reporting plus a proposed manipulation near-miss register,"Report serious incidents under the binding AI Act duty; separately pilot protected reporting of manipulation near misses, safeguard bypass and deceptive agent behaviour.",Model / provider,1,Research / hold,Indirect / mixed,"providers, deployers, AI Office and national authorities",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-020,Independent systemic-risk executive and board accountability,"Assign risk oversight to an executive independent of core capability and product functions, with documented escalation",Model / provider,1,Implement now,Indirect / mixed,frontier developer boards and regulators,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-021,Frontier-safety whistleblower protection,"Protect employees reporting concealed risk, misleading safety claims or framework noncompliance and provide anonymous channels",Model / provider,1,Implement now,None — legal existence only,"California Attorney General, courts and frontier developers",Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
CF-022,Staged access and release-modality governance,"Begin with limited, vetted API access and expand only after monitoring; withhold downloadable weights where residual risk is unacceptable",Model / provider,2,Pilot,None — mechanism or proposal only,model provider under regulator oversight,Active,2026-08-11,Family groups distinct implementations; it is not a policy ranking.
