source_id,title,institution_author,publication_date,source_class,jurisdiction,provenance,direct_url,verification_level,last_checked,notes
SRC-001,ERA Track A Final Research Agenda — Compositional Safety,Miguel Guerrero / ERA,2026,Standard / framework,Cross-jurisdictional,Primary / original,https://docs.google.com/document/d/1zC3MMqFFSLI3pwYV4sidb3aqQC-Lv8MoL6QoGFJ7haU/edit,Canonical project URL fixed,2026-08-11,Merged 2 legacy source rows: S-001
SRC-002,NIST AI Agent Standards Initiative,NIST,2026-02-17; updated 2026-04-20,Official guidance / institution,Cross-jurisdictional,Primary / original,https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative,URL recorded — recheck before citation,2026-08-11,Merged 2 legacy source rows: S-002; S-089
SRC-003,DSA election-risk guidelines,European Commission / EU,2024-04-26,Official guidance / institution,Cross-jurisdictional,Primary / original,https://digital-strategy.ec.europa.eu/en/library/guidelines-providers-vlops-and-vloses-mitigation-systemic-risks-electoral-processes,URL recorded — recheck before citation,2026-08-11,
SRC-004,General-Purpose AI Code of Practice,European Commission / EU,2025-07-10,Official guidance / institution,Cross-jurisdictional,Primary / original,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,Claim checked — primary legal source,2026-08-11,
SRC-005,NTIA Report on Dual-Use Foundation Models with Widely Available Weights,NTIA,2024-07-30,Official guidance / institution,International,Primary / original,https://www.ntia.gov/programs-and-initiatives/artificial-intelligence/open-model-weights-report,URL recorded — recheck before citation,2026-08-11,
SRC-006,TSE Resolution 23.755/2026,Tribunal Superior Eleitoral,2026-03-02,Primary law / regulator,National; Brazil provides a binding operational precedent,Primary / original,https://www.tse.jus.br/legislacao/compilada/res/2026/resolucao-no-23-755-de-2-de-marco-de-2026,URL recorded — recheck before citation,2026-08-11,
SRC-007,General-Purpose AI Models in the AI Act – Questions & Answers,European Commission / EU,2025-09-09,Official guidance / institution,EU,Primary / original,https://digital-strategy.ec.europa.eu/en/faqs/general-purpose-ai-models-ai-act-questions-answers,URL recorded — recheck before citation,2026-08-11,
SRC-008,It’s the Thought that Counts: Evaluating the Attempts of Frontier LLMs to Persuade on Harmful Topics,Authors — citation metadata to verify,2025-06-03,Preprint / working paper,international recommendation,Primary / original,https://arxiv.org/abs/2506.02873,Claim checked — empirical source,2026-08-11,
SRC-009,Protecting People from Harmful Manipulation,Google DeepMind,2026-03-26,Provider framework / policy,international recommendation,Primary / original,https://deepmind.google/blog/protecting-people-from-harmful-manipulation/,URL recorded — recheck before citation,2026-08-11,
SRC-010,The MASK Benchmark: Disentangling Honesty From Accuracy in AI Systems,Authors — citation metadata to verify,2025-03-05,Preprint / working paper,international recommendation,Primary / original,https://arxiv.org/abs/2503.03750,Claim checked — empirical source,2026-08-11,
SRC-011,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,NIST,2024-07-26,Official guidance / institution,EU compliance practice; international recommendation,Primary / original,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,URL recorded — recheck before citation,2026-08-11,
SRC-012,Challenges to the Monitoring of Deployed AI Systems,NIST,2026-03-06,Official guidance / institution,EU; international recommendation,Primary / original,https://www.nist.gov/publications/challenges-monitoring-deployed-ai-systems-center-ai-standards-and-innovation,URL recorded — recheck before citation,2026-08-11,
SRC-013,SB 53 – Transparency in Frontier Artificial Intelligence Act,Institution / authors to verify,2025-09-29,Primary law / regulator,"California, United States",Primary / original,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB53,URL recorded — recheck before citation,2026-08-11,
