id,benchmarkId,protocolId,modelId,model,metricKey,metricLabel,scorePct,n,evaluationDate,sourceType,sourceUrl,sourceLocator,comparabilityGroup,lowerPct,upperPct,artifactUrl,note
infoops-20260726-claude-sonnet-5-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,claude-sonnet-5,"Claude Sonnet 5",compliance_pct,"InfoOps compliance",5.5,200,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-claude-opus-5-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,claude-opus-5,"Claude Opus 5",compliance_pct,"InfoOps compliance",11.1,199,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-kimi-k3-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,kimi-k3,"Kimi K3",compliance_pct,"InfoOps compliance",23.4,197,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-gpt-5-6-sol-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,gpt-5-6-sol,"GPT-5.6 Sol",compliance_pct,"InfoOps compliance",27.1,199,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-gpt-5-6-luna-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,gpt-5-6-luna,"GPT-5.6 Luna",compliance_pct,"InfoOps compliance",28.9,197,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-gpt-5-6-terra-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,gpt-5-6-terra,"GPT-5.6 Terra",compliance_pct,"InfoOps compliance",37.8,196,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-gemini-3-6-flash-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,gemini-3-6-flash,"Gemini 3.6 Flash",compliance_pct,"InfoOps compliance",52.8,199,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-deepseek-v4-flash-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,deepseek-v4-flash,"DeepSeek V4 Flash",compliance_pct,"InfoOps compliance",59.9,197,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-deepseek-v4-pro-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,deepseek-v4-pro,"DeepSeek V4 Pro",compliance_pct,"InfoOps compliance",62.6,1482,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-llama-4-maverick-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,llama-4-maverick,"Llama 4 Maverick",compliance_pct,"InfoOps compliance",67.2,5042,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
infoops-20260726-glm-5-2-compliance,infoopsbench,infoopsbench-v2-openrouter-2026-07-26,glm-5-2,"GLM-5.2",compliance_pct,"InfoOps compliance",76.5,1096,2026-07-26,author-reported,https://arxiv.org/html/2607.28503v2,"Table 1 (compliance); Appendix A, Table 3 (n)",infoopsbench-v2-2026-07-26-openrouter,,,,"Compliance is amplified plus preserved; frozen 2026-07-26 paper snapshot; lower is safer."
