implementation_id,control_family_id,intervention,jurisdiction,operational_maturity,publication_claim_class,publication_decision_posture,registry_status,verification_wave,rank_eligibility,nonselection_meaning
I-001,CF-001,Root-purpose provenance across multi-agent handoffs,Cross-jurisdictional,Pilot,Provisional — project mechanism not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-002,CF-002,Workflow-level global guard before consequential completion,Cross-jurisdictional,Pilot,Provisional — project mechanism not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-003,CF-003,Machine-readable authorization boundaries and least privilege for agents,Cross-jurisdictional,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-004,CF-004,Tamper-evident workflow traces and election evidence preservation,Cross-jurisdictional,Research,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-005,CF-005,Longitudinal APE–MASK–manipulation evaluation suite,Cross-jurisdictional,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-006,CF-006,Manipulation capability–reach threshold tied to release and deployment decisions,EU pilot; internationally adaptable,Research,Open question,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-007,CF-007,Election access-risk observatory for frontier and open-weight releases,International,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-009,CF-006,Proposed capability-plus-reach systemic-risk trigger,EU,Research,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-010,CF-010,Harmful manipulation as a specified systemic-risk domain,EU,Operational,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-011,CF-011,APE-style harmful-persuasion propensity diagnostic — not a release gate,international recommendation,Research,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-012,CF-012,Context-specific manipulation efficacy evaluation,international recommendation,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-013,CF-013,MASK-style honesty and pressured-deception diagnostic — not a manipulation gate,international recommendation,Research,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-015,CF-015,Agent-scaffold and tool-access evaluation,international recommendation,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-016,CF-046,Independent evaluator access to capable and minimally mitigated models,EU compliance practice,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-018,CF-018,Continuous post-deployment re-evaluation,EU; international recommendation,Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-019,CF-019,Serious-incident reporting plus a proposed manipulation near-miss register,EU baseline; recommended expansion internationally,Design-ready,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-020,CF-020,Independent systemic-risk executive and board accountability,EU compliance practice; international recommendation,Partial / uneven,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-021,CF-021,Frontier-safety whistleblower protection,"California, United States",Operational,Provisional — legal status not claim-checked,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-022,CF-022,Staged and differential model access,EU compliance practice; international recommendation,Pilot,Plausible hypothesis,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
I-024,CF-024,Technical enforcement for Article 5-qualified manipulative practices,EU,Operational,Established — legal status,not_assessed,candidate_registry,outside_stable_core_selection_v0.1,not_assessed_outside_core_wave,Outside this verification wave; not rejected and not evidence of ineffectiveness
