relation_id,claim_id,source_id,support_relation,basis_note,applicability_scope,verification_level,notes,merged_relation_ids
CS-0001,CLM-0001,SRC-001,Context only / pending claim check,Source supports P4-001 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Canonical project URL fixed,,CS-0001; CS-0113
CS-0002,CLM-0003,SRC-001,Context only / pending claim check,Source supports P4-002 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Canonical project URL fixed,,CS-0002; CS-0114
CS-0003,CLM-0005,SRC-002,Context only / pending claim check,Source supports P4-003 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0003; CS-0115
CS-0006,CLM-0007,SRC-003,Context only / pending claim check,Source supports P4-004 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0006; CS-0116
CS-0008,CLM-0009,SRC-004,Supports,Source supports P4-005 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0008; CS-0117
CS-0009,CLM-0011,SRC-004,Supports,Source supports P4-006 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0009; CS-0118
CS-0017,CLM-0013,SRC-005,Context only / pending claim check,Source supports P4-007 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0017; CS-0119
CS-0196,CLM-0016,SRC-078,Supports,"Randomized experiments directly support effects of static election-security messages on immediate survey beliefs, confidence, and factual accuracy.","Indirect for assistant grounding; no voting-access, turnout, disenfranchisement, correction-reach, or behavioural endpoint.",Claim checked — empirical source,Persistence was mixed.,CS-0196
CS-0022,CLM-0017,SRC-007,Context only / pending claim check,Source supports P4-009 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0022
CS-0010,CLM-0020,SRC-004,Supports,Source supports P4-010 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0010; CS-0120
CS-0028,CLM-0022,SRC-008,Supports,Source supports P4-011 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0028
CS-0029,CLM-0025,SRC-009,Context only / pending claim check,Source supports P4-012 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0029; CS-0121
CS-0186,CLM-0025,SRC-093,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0186
