priority,model_id,name,family,release_date,release_date_source,access_class,total_params_b,size_disclosure,identity_tier,canonical_slug,inclusion_basis,openrouter_url,hugging_face_id,hugging_face_url,provider_tag,provider_name,endpoint_name,quantization,zdr_eligible,seed_supported,reasoning_effort_supported,compatibility_lane,reasoning_effort,input_usd_per_million,output_usd_per_million,expected_target_cost_usd_120,maximum_target_cost_usd_120,expected_auxiliary_cost_usd_per_target,conservative_start_forecast_usd,secondary_ape_status,legacy_project_evidence,recommended_action,protocol_id,expected_samples_per_model,samples_per_category,candidate_status,source_plan_url
1,openai/gpt-3.5-turbo,OpenAI: GPT-3.5 Turbo,openai,2023-03-01,https://openai.com/index/introducing-chatgpt-and-whisper-apis/,hosted,,undisclosed_or_not_bound_in_frozen_plan,named-release-route-frozen-snapshot-unresolved,openai/gpt-3.5-turbo,hosted-openai-frontier-release,https://openrouter.ai/openai/gpt-3.5-turbo,,,openai,OpenAI,OpenAI | openai/gpt-3.5-turbo,unknown,False,True,False,seeded,,0.5,1.5,0.141,0.30432,0.1,0.42175,eligible_no_exact_secondary_ape_in_frozen_ledger,exploratory_complete_120_nonconfirmatory,rerun_under_strict_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
2,mistralai/mixtral-8x22b-instruct,Mistral: Mixtral 8x22B Instruct,Mixtral,2024-04-16,project-frontier-registry,open-weight,140.6,documented_total_parameters,original-weight-release-id,mistralai/mixtral-8x22b-instruct,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/mistralai/mixtral-8x22b-instruct,mistralai/Mixtral-8x22B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,mistral,Mistral,Mistral | mistralai/mixtral-8x22b-instruct,unknown,False,True,False,seeded,,2.0,6.0,0.564,1.21728,0.1,1.162,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
3,deepseek/deepseek-chat,DeepSeek: DeepSeek V3,DeepSeek,2024-12-26,project-frontier-registry,open-weight,671.0,documented_total_parameters,original-weight-release-id,deepseek/deepseek-chat-v3,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/deepseek/deepseek-chat,deepseek-ai/DeepSeek-V3,https://huggingface.co/deepseek-ai/DeepSeek-V3,novita/fp8,Novita,Novita | deepseek/deepseek-chat-v3,fp8,True,True,False,seeded,,0.39999999999999997,1.3,0.1182,0.25574399999999997,0.1,0.38185,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
4,minimax/minimax-01,MiniMax: MiniMax-01,minimax,2025-01-15,openrouter-model-created-at,open-weight,456.0,documented_total_parameters,original-weight-release-id,minimax/minimax-01,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/minimax/minimax-01,MiniMaxAI/MiniMax-Text-01,https://huggingface.co/MiniMaxAI/MiniMax-Text-01,minimax,Minimax,Minimax | minimax/minimax-01,unknown,False,False,False,provider-unseeded,,0.19999999999999998,1.1,0.0834,0.183168,0.1,0.32095,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
5,cohere/command-a,Cohere: Command A,cohere,2025-03-13,openrouter-model-created-at,open-weight,111.0,documented_total_parameters,original-weight-release-id,cohere/command-a-03-2025,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/cohere/command-a,CohereForAI/c4ai-command-a-03-2025,https://huggingface.co/CohereForAI/c4ai-command-a-03-2025,cohere,Cohere,Cohere | cohere/command-a-03-2025,unknown,False,True,False,seeded,,2.5,10.0,0.84,1.8288,0.1,1.645,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
6,meta-llama/llama-4-maverick,Meta: Llama 4 Maverick,Llama 4,2025-04-05,project-frontier-registry,open-weight,400.0,documented_total_parameters,original-weight-release-id,meta-llama/llama-4-maverick-17b-128e-instruct,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/meta-llama/llama-4-maverick,meta-llama/Llama-4-Maverick-17B-128E-Instruct,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,deepinfra/base,DeepInfra,DeepInfra | meta-llama/llama-4-maverick-17b-128e-instruct,fp8,True,True,False,seeded,,0.19999999999999998,0.7999999999999999,0.06719999999999998,0.14630399999999996,0.1,0.2926,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
7,qwen/qwen3-235b-a22b,Qwen: Qwen3 235B A22B,Qwen 3,2025-04-29,project-frontier-registry,open-weight,235.0,documented_total_parameters,original-weight-release-id,qwen/qwen3-235b-a22b-04-28,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/qwen/qwen3-235b-a22b,Qwen/Qwen3-235B-A22B,https://huggingface.co/Qwen/Qwen3-235B-A22B,alibaba,Alibaba,Alibaba | qwen/qwen3-235b-a22b-04-28,unknown,False,True,False,seeded,,0.45499999999999996,1.8199999999999998,0.15287999999999996,0.33284159999999996,0.1,0.44254,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
8,google/gemini-2.5-flash,Google: Gemini 2.5 Flash,google,2025-06-17,openrouter-model-created-at,hosted,,undisclosed_or_not_bound_in_frozen_plan,named-release-route-frozen-snapshot-unresolved,google/gemini-2.5-flash,hosted-google-frontier-release,https://openrouter.ai/google/gemini-2.5-flash,,,google-vertex/eu,Google,Google | google/gemini-2.5-flash,unknown,True,True,False,seeded,,0.3,2.5,0.171,0.3792,0.1,0.47425,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
9,baidu/ernie-4.5-vl-424b-a47b,Baidu: ERNIE 4.5 VL 424B A47B ,baidu,2025-06-30,openrouter-model-created-at,open-weight,424.0,documented_total_parameters,original-weight-release-id,baidu/ernie-4.5-vl-424b-a47b,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/baidu/ernie-4.5-vl-424b-a47b,baidu/ERNIE-4.5-VL-424B-A47B-PT,https://huggingface.co/baidu/ERNIE-4.5-VL-424B-A47B-PT,novita/fp16,Novita,Novita | baidu/ernie-4.5-vl-424b-a47b,fp16,True,True,False,seeded,,0.42,1.25,0.1179,0.2544,0.1,0.381325,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
10,moonshotai/kimi-k2,MoonshotAI: Kimi K2 0711,Kimi K2,2025-07-11,project-frontier-registry,open-weight,1000.0,documented_total_parameters,original-weight-release-id,moonshotai/kimi-k2,open-weight-original-lab-total-parameters-ge-100b,https://openrouter.ai/moonshotai/kimi-k2,moonshotai/Kimi-K2-Instruct,https://huggingface.co/moonshotai/Kimi-K2-Instruct,novita/fp8,Novita,Novita | moonshotai/kimi-k2,fp8,True,True,False,seeded,,0.5700000000000001,2.3,0.1926,0.419424,0.1,0.51205,eligible_no_exact_secondary_ape_in_frozen_ledger,,run_primary_v0.2,atb-ape120-primary-20260825-v0.2,120,20,frozen_candidate_queue,https://github.com/apolmig/agencytransfer/blob/5a7ab5a1868802b7ce91afc2d85c3a9221428cfc/evals/config/ape120-primary-v0.2.json
