selection_protocol_version,source_release,selection_design,preregistration_status,display_order,implementation_id,control_family_id,intervention,inclusion_status,primary_policy_function,causal_chain_stage,electoral_relevance_code,jurisdiction_group_code,accountable_actor_code,auditability_code,nonduplication_code,linked_gap_ids,selection_rationale,evidence_gap,rank_eligibility,rank_eligibility_rationale,effect_direction_used_for_selection,jurisdiction,legal_force,legal_status,operational_maturity,publication_claim_class,effect_claim_checked,legal_claim_checked,mechanism_claim_checked,publication_decision_posture,effect_claim_ids,legal_claim_ids,mechanism_claim_ids,source_ids,claim_disposition_status,gate_assessment_status,independent_review_status,stable_core_admission_status,ranking_ready
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,1,I-008,CF-008,Official-source grounding for verifiable election-administration facts,proposed_core_candidate,authoritative_election_information,target_information_integrity,direct,national_brazil_precedent,election_authority_ai_provider_deployer,high,unique_function,G-06|G-10|G-12,Directly addresses false voting guidance with an auditable authoritative-source rule,Checked evidence concerns factual messages rather than deployed AI grounding or downstream voting behaviour,not_eligible_now__comparison_class_possible,Requires common factual-accuracy and behavioural endpoints across alternative grounding designs,false,National; Brazil provides a binding operational precedent,Proposed,Proposed / pending,Pilot,Strong inference,true,false,false,not_assessed,CLM-0016,,CLM-0015,SRC-078,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,2,I-014,CF-014,"Adaptive jailbreak, fine-tuning and abliteration robustness testing",proposed_core_candidate,upstream_model_assurance,capability_evaluation,enabling,eu,gpai_provider_independent_evaluator,medium,unique_function,G-02|G-12,Covers adversarial safeguard failure before deployment,Legal scope and causal reduction in deployed manipulation remain unverified; threat completeness is unknown,not_eligible_now__contextual_assessment_only,Testing regimes are threat-model dependent and should be assessed against coverage gates,false,EU compliance practice; international recommendation,Mixed,Applicable,Pilot,Provisional — legal status not claim-checked,false,false,false,not_assessed,CLM-0031,CLM-0029,CLM-0030,SRC-011,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,3,I-017,CF-017,Pre-release safety case and Safety and Security Model Report,proposed_core_candidate,upstream_model_assurance,release_decision,enabling,eu,frontier_provider_regulator,high,cross_layer_complement,G-02,Makes pre-release reasoning assumptions mitigations and residual risk inspectable,Effect on release quality or harm is unestablished and the regulatory filing element remains proposed,not_eligible_now__contextual_assessment_only,A safety case is an assurance condition rather than a commensurable outcome intervention,false,EU,Proposed,Proposed / pending,Pilot,Plausible hypothesis,false,false,false,not_assessed,CLM-0038,,CLM-0037,SRC-004,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,4,I-023,CF-023,Risk-tiered API identity and campaign-account verification,proposed_core_candidate,operator_and_agent_accountability,operator_access_and_attribution,direct,international_us_precedent,api_provider_campaign_intermediary,medium,unique_function,G-07,Adds controller attribution at the high-volume access point,No checked claims or direct evidence on deterrence bypass privacy error or displacement,not_eligible_now__pilot_evidence_required,Needs field implementation and a privacy-preserving attribution endpoint,false,international recommendation; US IaaS proposal provides precedent,Proposed,Proposed / pending,Design-ready,Plausible hypothesis,false,false,false,not_assessed,CLM-0054,,CLM-0053,,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,5,I-025,CF-022,Release-modality safety case for open-weight models,proposed_core_candidate,upstream_model_assurance,release_modality,enabling,eu_international,open_weight_provider_regulator,medium,unique_function,G-05,Covers irreversible and modifiable open-weight release rather than API deployment alone,No direct evidence links a release assessment to reduced misuse and thresholds remain undefined,not_eligible_now__pilot_evidence_required,Needs prospective cases with predeclared capability reach reversibility and residual-risk criteria,false,EU baseline; international recommendation,Proposed,Proposed / pending,Pilot,Plausible hypothesis,false,false,false,not_assessed,CLM-0059,,CLM-0058,SRC-007,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,6,I-042,CF-042,Election-specific systemic-risk assessment and mitigation for very large platforms and search engines,proposed_core_candidate,distribution_advertising_and_reach,platform_systemic_risk,direct,eu,vlop_vlose_eu_regulator,medium,unique_function,G-07|G-12,Provides an upstream product-level election-risk duty for dominant distribution systems,Legal and mechanism claims are not fully checked and mitigation effectiveness lacks causal evidence,not_eligible_now__contextual_assessment_only,Platform risk-management packages are context-specific and multi-component,false,European Union,Binding,Applicable,Operational,Provisional — legal status not claim-checked,false,false,false,not_assessed,CLM-0109,CLM-0107,CLM-0108,SRC-003; SRC-053,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,7,I-046,CF-046,Vetted researcher access to non-public platform data,proposed_core_candidate,independent_evidence_and_assurance,external_measurement,enabling,eu,platform_regulator_vetted_researcher,high,unique_function,G-12|G-13,Enables independent observation of exposure coordination and mitigation performance,Scope and access practice need verification and access-to-enforcement or harm effects are unknown,not_eligible_now__contextual_assessment_only,Data access is enabling infrastructure and should be assessed for coverage timeliness and independence,false,European Union,Binding — limited scope,Applicable,Operational,Provisional — legal status not claim-checked,false,false,false,not_assessed,CLM-0121,CLM-0119,CLM-0120,SRC-027; SRC-059,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,8,I-048,CF-042,"Pre-election stress tests, readiness dialogues and regulator election toolkits",proposed_core_candidate,preparedness_and_incident_response,pre_incident_readiness,direct,eu_partner_countries,regulator_election_authority_platform,high,unique_function,G-12,Tests coordination and control gaps before time-critical incidents,Operational claims are not fully checked and effects on response latency or electoral harm are indirect,not_eligible_now__comparison_class_possible,Comparable exercises require shared scenarios injects readiness measures and follow-up verification,false,"EU and partner countries, including Moldova",Voluntary / private,Operational voluntary,Operational,Plausible hypothesis,false,false,false,not_assessed,CLM-0127,CLM-0125,CLM-0126,SRC-029,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,9,I-049,CF-045,"Mandatory labels, sponsor notices and an EU repository for political advertising",proposed_core_candidate,distribution_advertising_and_reach,paid_influence_transparency,direct,eu,political_ad_provider_sponsor_regulator,high,cross_jurisdiction_comparator,G-07|G-14,Creates inspectable sponsor targeting and spend records for paid influence,Legal existence is checked but mechanism implementation and effects on voter recognition enforcement or evasion are not,not_eligible_now__comparison_class_possible,Can later be compared with imprint and repository regimes using common coverage and use endpoints,false,European Union,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0130,CLM-0128,CLM-0129,SRC-030,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,10,I-050,CF-045,Restrict personal-data political-ad targeting and prohibit special-category profiling,proposed_core_candidate,data_profiling_and_personalisation,political_microtargeting,direct,eu,political_ad_provider_campaign_regulator,medium,cross_jurisdiction_comparator,G-07|G-14,Directly targets intimate-data political microtargeting and permits comparison with Brazil,Legal status is checked but inference detection consent quality displacement and outcome effects remain open,not_eligible_now__comparison_class_possible,Requires common targeting-scope enforcement and rights endpoints across jurisdictions,false,European Union,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0133,CLM-0131,CLM-0132,SRC-030; SRC-031,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,11,I-052,CF-029,Machine-readable marking of AI-generated content and visible deepfake disclosure,proposed_core_candidate,authenticity_and_source_disclosure,synthetic_content_disclosure,direct,eu,ai_provider_deployer_platform_regulator,medium,cross_layer_complement,G-09|G-12|G-14,Links provider-side marking to human-visible disclosure in a binding framework,Legal timing is checked but implementation coverage credential survival comprehension and behavioural effects are open,not_eligible_now__comparison_class_possible,Needs comparable detection persistence comprehension and downstream-behaviour endpoints,false,European Union,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0139,CLM-0137,CLM-0138,SRC-016; SRC-111,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,12,I-054,CF-054,Time-bound election Rapid Response System for platform escalation,proposed_core_candidate,preparedness_and_incident_response,incident_escalation,direct,eu,platform_civil_society_regulator,high,cross_layer_complement,G-08|G-12,Adds a measurable final-hours escalation lane between trusted flaggers and platforms,Status and operation need checking and there is no direct evidence on counterfactual response time or harm,not_eligible_now__comparison_class_possible,Requires shared severity clocks resolution outcomes and false-escalation measures,false,European Union and election-specific deployments,Voluntary / private,Operational voluntary,Operational,Plausible hypothesis,false,false,false,not_assessed,CLM-0145,CLM-0143,CLM-0144,SRC-033,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,13,I-056,CF-056,Mandatory digital imprints on paid political material and specified organic campaign material,proposed_core_candidate,authenticity_and_source_disclosure,campaign_source_attribution,direct,uk,campaign_party_electoral_regulator,high,cross_jurisdiction_comparator,G-07,Extends source attribution beyond paid ads and adds a UK statutory comparator,Legal scope mechanism coverage voter use and enforcement effects remain unchecked,not_eligible_now__comparison_class_possible,Can be compared with sponsor notices using attribution coverage and enforcement endpoints,false,United Kingdom,Binding,Applicable,Operational,Provisional — legal status not claim-checked,false,false,false,not_assessed,CLM-0151,CLM-0149,CLM-0150,SRC-035,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,14,I-060,CF-052,Treat AI-cloned voices in robocalls as artificial voices requiring consent,proposed_core_candidate,authenticity_and_source_disclosure,synthetic_audio_delivery,direct,us,voice_service_campaign_federal_regulator,high,cross_jurisdiction_comparator,,Adds a mature communications-law route for a documented synthetic-audio vector,Legal scope and effectiveness are not claim-checked; compliance displacement and deterrence are unknown,not_eligible_now__comparison_class_possible,Requires common consent identification complaint and evasion endpoints for synthetic-audio controls,false,United States,Binding,Applicable,Operational,Provisional — legal status not claim-checked,false,false,false,not_assessed,CLM-0162,CLM-0160,CLM-0161,SRC-039,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,15,I-064,CF-029,End-to-end cryptographic provenance and interoperable Content Credentials,proposed_core_candidate,authenticity_and_source_disclosure,media_supply_chain_provenance,enabling,global,creator_tool_vendor_platform_standard_body,medium,cross_layer_complement,G-09|G-12,Represents interoperable known-good provenance across creation editing and distribution,Specification existence adoption persistence adversarial removal and human-use effects are not fully verified,not_eligible_now__comparison_class_possible,Can compare technical provenance variants only after common coverage persistence and usability measures,false,"Global, voluntary technical ecosystem",Voluntary / private,Operational voluntary,Operational,Plausible hypothesis,false,false,false,not_assessed,CLM-0172,CLM-0170,CLM-0171,SRC-043,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,16,I-067,CF-067,Forwarding limits and forwarded-message friction in encrypted messaging,proposed_core_candidate,distribution_advertising_and_reach,private_messaging_virality,direct,global,messaging_platform_network_operator,high,unique_function,G-08|G-12,Covers high-trust private-channel reach without requiring content inspection,Checked evidence is observational and label-conditioned; causal reach behaviour and cross-context effects remain unresolved,not_eligible_now__comparison_class_possible,Needs randomized or quasi-experimental forwarding reach and displacement endpoints,false,Global,Voluntary / private,Operational voluntary,Operational,Open question,true,false,false,not_assessed,CLM-0181,CLM-0179,CLM-0180,SRC-046; SRC-116,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,17,I-068,CF-068,Technique-based prebunking and election media literacy,proposed_core_candidate,cognitive_resilience,pre_exposure_resilience,direct,global,election_authority_civil_society_platform,medium,unique_function,G-06|G-12,Represents the only selected user-facing pre-exposure resilience control,Immediate technique recognition is checked but persistence transfer sharing voting effects and field delivery remain uncertain,not_eligible_now__comparison_class_possible,Requires common delayed recognition behaviour and election-context endpoints across interventions,false,Global; adapted in EU election campaigns,Voluntary / private,Partial / verify,Partial / uneven,Established — component effect,true,false,false,not_assessed,CLM-0184,CLM-0182,CLM-0183,SRC-047,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,18,I-071,CF-052,Ban on electoral deepfakes used to favour or harm a candidacy,proposed_core_candidate,authenticity_and_source_disclosure,synthetic_impersonation_prohibition,direct,brazil,campaign_creator_platform_electoral_court,medium,cross_jurisdiction_comparator,G-09,Adds a binding prohibition comparator to disclosure and provenance controls,Legal existence is checked but detection adjudication overbreadth evasion and outcome effects remain open,not_eligible_now__comparison_class_possible,Requires matched election-window coverage enforcement rights and displacement measures,false,Brazil,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0193,CLM-0191,CLM-0192,SRC-049,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,19,I-072,CF-072,Ban on chatbots or avatars simulating conversation with a candidate or real person,proposed_core_candidate,operator_and_agent_accountability,relational_candidate_simulation,direct,brazil,campaign_ai_provider_electoral_court,high,unique_function,,Directly addresses scalable false intimacy and candidate impersonation by interactive systems,Legal existence is checked but scope disclosure compliance user recognition and causal effects are untested,not_eligible_now__comparison_class_possible,Needs a comparator set for prohibition disclosure and verified-candidate interactive agents,false,Brazil,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0196,CLM-0194,CLM-0195,SRC-049,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,20,I-076,CF-076,"Immediate de-amplification, evidence preservation and narrowly bounded corrective promotion",proposed_core_candidate,distribution_advertising_and_reach,incident_containment_and_correction,direct,brazil,platform_electoral_court,high,unique_function,G-08|G-09|G-12,Combines reach interruption evidence retention and targeted correction in one enforceable sequence,Legal existence is checked but trigger accuracy response speed corrective effects and rights costs are unknown,not_eligible_now__comparison_class_possible,Requires incident-matched reach latency correction and false-positive endpoints,false,Brazil,Binding — limited scope,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0208,CLM-0206,CLM-0207,SRC-049,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,21,I-079,CF-054,CIEDDE-SIADE integrated election-disinformation alert and coordination system,proposed_core_candidate,preparedness_and_incident_response,cross_institution_coordination,direct,brazil,electoral_court_platform_public_reporter,high,cross_jurisdiction_comparator,G-08,Adds an election-authority-led public reporting and response comparator outside the EU,Operational scope throughput resolution quality and causal effect on incidents are not claim-checked,not_eligible_now__comparison_class_possible,Can compare coordination systems after harmonizing severity latency action and appeal measures,false,Brazil,Voluntary / private,Operational voluntary,Operational,Plausible hypothesis,false,false,false,not_assessed,CLM-0217,CLM-0215,CLM-0216,SRC-051,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,22,I-081,CF-081,Electoral data-protection duties for profiling and microtargeting,proposed_core_candidate,data_profiling_and_personalisation,political_data_governance,direct,brazil,campaign_party_vendor_data_authority,medium,cross_jurisdiction_comparator,G-07,Provides a campaign-specific Brazil comparator for data and vulnerability governance,Legal existence is checked but enforcement coverage inferred-data treatment evasion and behavioural effects are open,not_eligible_now__comparison_class_possible,Requires matched legal-basis profiling enforcement and rights endpoints with EU controls,false,Brazil,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0223,CLM-0221,CLM-0222,SRC-049,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,23,I-084,CF-084,Require a non-profiling recommender option,proposed_core_candidate,data_profiling_and_personalisation,recommender_user_choice,enabling,eu,vlop_vlose_eu_regulator,high,unique_function,,Creates an observable user exit from profiling-based attention steering,Legal existence is checked but discoverability adoption exposure diversity and agency effects remain untested,not_eligible_now__comparison_class_possible,Needs interface take-up exposure and downstream agency endpoints across recommender options,false,EU/EEA,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0229,CLM-0227,CLM-0228,SRC-025,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,24,I-086,CF-086,"Apply purpose limitation, minimization, access, correction, erasure and DPIAs to assistant memory",proposed_core_candidate,data_profiling_and_personalisation,persistent_assistant_memory,enabling,eu,assistant_provider_data_authority,medium,unique_function,G-04|G-10|G-12,Covers persistent intimate data as a future electoral-personalisation substrate,Checked minimisation evidence is offline and non-electoral; legal scope deployment compliance and agency outcomes remain open,not_eligible_now__comparison_class_possible,Requires assistant-specific minimisation privacy utility and manipulation-resistance endpoints,false,EU/EEA,Binding,Applicable,Operational,Strong inference,true,false,false,not_assessed,CLM-0232,CLM-0230,CLM-0231,SRC-054; SRC-117,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,25,I-091,CF-091,"Provide complaints, investigation and remedial routes under the AI Act",proposed_core_candidate,remedy_lifecycle_and_pluralism,complaint_investigation_and_redress,enabling,eu,ai_provider_deployer_market_surveillance_authority,high,unique_function,G-14,Completes the chain from detected harm to investigation remedy and public enforcement,Scope is not fully checked and accessibility timeliness remedy quality and deterrent effects are unknown,not_eligible_now__contextual_assessment_only,Redress is a non-compensable institutional gate and not commensurable with preventive controls,false,EU/EEA,Binding,Applicable,Operational,Provisional — legal status not claim-checked,false,false,false,not_assessed,CLM-0247,CLM-0245,CLM-0246,SRC-058,incomplete,not_assessed,pending,blocked_pending_verification,false
stable-core-selection-v0.1,v0.1.0-beta.2,retrospective_editorial_selection,not_preregistered,26,I-092,CF-092,Mandate independent annual audits of very large platforms,proposed_core_candidate,independent_evidence_and_assurance,recurring_external_audit,enabling,eu,vlop_vlose_independent_auditor_regulator,high,unique_function,,Adds recurring independent assurance rather than one-off self-assessment,Legal existence is checked but auditor independence audit depth correction closure and harm effects remain open,not_eligible_now__contextual_assessment_only,Audit is enabling governance and should be judged by independence scope and remediation closure,false,EU/EEA,Binding,Applicable,Operational,Established — legal status,false,true,false,not_assessed,CLM-0250,CLM-0248,CLM-0249,SRC-025,incomplete,not_assessed,pending,blocked_pending_verification,false
