relation_id,claim_id,source_id,support_relation,basis_note,applicability_scope,verification_level,notes,merged_relation_ids,publication_relation_status
CS-0001,CLM-0001,SRC-001,Context only / pending claim check,Source supports P4-001 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-001; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Canonical project URL fixed,,CS-0001; CS-0113,pending_claim_check
CS-0002,CLM-0003,SRC-001,Context only / pending claim check,Source supports P4-002 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-002; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Canonical project URL fixed,,CS-0002; CS-0114,pending_claim_check
CS-0003,CLM-0005,SRC-002,Context only / pending claim check,Source supports P4-003 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-003; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0003; CS-0115,pending_claim_check
CS-0006,CLM-0007,SRC-003,Context only / pending claim check,Source supports P4-004 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-004; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0006; CS-0116,pending_claim_check
CS-0008,CLM-0009,SRC-004,Supports,Source supports P4-005 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-005; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0008; CS-0117,source_checked_not_eligible_for_claim_type
CS-0009,CLM-0011,SRC-004,Supports,Source supports P4-006 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-006; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0009; CS-0118,source_checked_not_eligible_for_claim_type
CS-0017,CLM-0013,SRC-005,Context only / pending claim check,Source supports P4-007 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-007; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0017; CS-0119,pending_claim_check
CS-0196,CLM-0016,SRC-078,Supports,"Randomized experiments directly support effects of static election-security messages on immediate survey beliefs, confidence, and factual accuracy.","Indirect for assistant grounding; no voting-access, turnout, disenfranchisement, correction-reach, or behavioural endpoint.",Claim checked — empirical source,Persistence was mixed.,CS-0196,claim_support_checked
CS-0022,CLM-0017,SRC-007,Context only / pending claim check,Source supports P4-009 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0022,pending_claim_check
CS-0010,CLM-0020,SRC-004,Supports,Source supports P4-010 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-010; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0010; CS-0120,source_checked_not_eligible_for_claim_type
CS-0028,CLM-0022,SRC-008,Supports,Source supports P4-011 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0028,claim_support_checked
CS-0029,CLM-0025,SRC-009,Context only / pending claim check,Source supports P4-012 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-012; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0029; CS-0121,pending_claim_check
CS-0186,CLM-0025,SRC-093,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0186,claim_support_checked
CS-0187,CLM-0025,SRC-095,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0187,claim_support_checked
CS-0188,CLM-0025,SRC-113,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0188,claim_support_checked
CS-0189,CLM-0025,SRC-114,Supports,Supports capability/mechanism tier only; does not establish electoral agency transfer or intervention effectiveness.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0189,claim_support_checked
CS-0030,CLM-0027,SRC-010,Supports,Source supports P4-013 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — empirical source,,CS-0030,claim_support_checked
CS-0031,CLM-0030,SRC-011,Context only / pending claim check,Source supports P4-014 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-014; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0031; CS-0122,pending_claim_check
CS-0004,CLM-0033,SRC-002,Context only / pending claim check,Source supports P4-015 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-015; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0004; CS-0123,pending_claim_check
CS-0011,CLM-0035,SRC-004,Supports,Source supports P4-016 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-016; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0011; CS-0124,source_checked_not_eligible_for_claim_type
CS-0012,CLM-0037,SRC-004,Supports,Source supports P4-017 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-017; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0012; CS-0125,source_checked_not_eligible_for_claim_type
CS-0032,CLM-0040,SRC-012,Context only / pending claim check,Source supports P4-018 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-018; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0032; CS-0126,pending_claim_check
