modelId,estimateVersion,evidenceStatus,scorePct,lower80Pct,upper80Pct,lower95Pct,upper95Pct,observedWeight,imputedWeight,evidenceGrade,partialIdentificationLowerPct,partialIdentificationUpperPct,equalWeightsMedianPct,capabilityOnlyMedianPct,weightSensitive,componentObserved,componentPct,basisBenchmarks,sourceObservationIds,methodUrl,note
bloomz-176b,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gpt-3-text-davinci-003,hmc-proxy-v0.1,estimated,65.1,50.4,79.3,44.4,85.2,0.4,0.6,C,34.9,94.9,59.4,68.7,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":87.3,""agentic"":null,""persuasion"":null,""deception"":null}","[""diselect""]","[""diselect-gpt-3-text-davinci-003-harmful-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
gpt-3-5-turbo-0613,hmc-proxy-v0.1,estimated,68.6,54.4,83.1,48.5,89.2,0.4,0.6,C,38.7,98.7,61.7,73.2,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":96.7,""agentic"":null,""persuasion"":null,""deception"":null}","[""diselect""]","[""diselect-gpt-3-5-turbo-0613-harmful-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
gpt-4-0613,hmc-proxy-v0.1,estimated,66.4,52,80.9,46,87,0.4,0.6,C,36.6,96.6,60.3,70.6,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":91.4,""agentic"":null,""persuasion"":null,""deception"":null}","[""diselect""]","[""diselect-gpt-4-0613-harmful-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
falcon-180b-chat,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
gemini-1-0-pro-002,hmc-proxy-v0.1,estimated,55.3,41,69.7,35,75.7,0.4,0.6,C,25.5,85.5,53.3,56.8,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":63.6,""agentic"":null,""persuasion"":null,""deception"":null}","[""diselect""]","[""diselect-gemini-1-0-pro-002-harmful-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
mixtral-8x22b-instruct,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
qwen1-5-110b-chat,hmc-proxy-v0.1,insufficient-evidence,,,,,,0.1,0.9,D,3.6,93.6,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":true}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":35.6}","[""mask-original""]","[""mask-original-qwen1-5-110b-chat-lie-rate""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
llama-3-1-405b-instruct,hmc-proxy-v0.1,insufficient-evidence,,,,,,0.1,0.9,D,2.8,92.8,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":true}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":28}","[""mask-original""]","[""mask-original-llama-3-1-405b-instruct-lie-rate""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
deepseek-v3,hmc-proxy-v0.1,insufficient-evidence,,,,,,0.1,0.9,D,5.4,95.4,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":true}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":53.5}","[""mask-original""]","[""mask-original-deepseek-v3-lie-rate""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
deepseek-r1,hmc-proxy-v0.1,insufficient-evidence,,,,,,0.1,0.9,D,4.3,94.3,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":true}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":42.9}","[""mask-original""]","[""mask-original-deepseek-r1-lie-rate""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
llama-4-maverick,hmc-proxy-v0.1,estimated,56.9,42.4,71.1,36.4,77,0.4,0.6,C,26.9,86.9,54.2,58.7,false,"{""operational"":true,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":67.2,""agentic"":null,""persuasion"":null,""deception"":null}","[""infoopsbench""]","[""infoops-20260726-llama-4-maverick-compliance""]",https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,"Modelled proxy with missing components drawn from Uniform(0,1); not observed manipulation, human efficacy, agency transfer, or real-world harm."
openai-o3,hmc-proxy-v0.1,insufficient-evidence,,,,,,0,1,D,0,100,,,false,"{""operational"":false,""agentic"":false,""persuasion"":false,""deception"":false}","{""operational"":null,""agentic"":null,""persuasion"":null,""deception"":null}",[],[],https://github.com/apolmig/agencytransfer/blob/main/ESTIMATED_SCORE.md,No numeric proxy is shown because direct operational or agentic evidence is insufficient under v0.1 eligibility rules.
