claim_id,atomic_claim,claim_type,evidence_origin,endpoint,epistemic_status,directness,claim_status,as_of_date,notes
CLM-0001,"Root-purpose provenance across multi-agent handoffs targets Bind every delegated subtask, tool call, generated artifact, and terminal action to a signed root-purpose record, with explicit scope changes and controller identity. at Capability → controller → delegated vector; expected agency domain: Executive; decisional; collective / institutional.",Mechanism,Project — confirmatory mechanism,Mechanism / agency,Established evidence,Direct,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0002,None — mechanism or proposal only. Expected effect if the control works: Makes harmful composition inspectable and prevents local compliance from substituting for end-to-end purpose review.,Control effectiveness,Project — confirmatory mechanism,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0003,"Workflow-level global guard before consequential completion targets Evaluate the cumulative plan, intermediate artifacts, recipient, scale, target, and foreseeable downstream use immediately before a consequential action is executed. at Vector → target → consequential action; expected agency domain: Executive; decisional.",Mechanism,Project — confirmatory mechanism,Mechanism / agency,Established evidence,Direct,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0004,None — mechanism or proposal only. Expected effect if the control works: Restores end-to-end review at the point where reversible assistance becomes real-world harm.,Control effectiveness,Project — confirmatory mechanism,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0005,"Machine-readable authorization boundaries and least privilege for agents targets Express purpose, permitted tools, targets, data, spend, duration, audience, and escalation conditions as enforceable grants; require renewed confirmation for high-impact deviations. at Controller → vector; expected agency domain: Executive; decisional; institutional.",Mechanism,Project — exploratory,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0006,None — mechanism or proposal only. Expected effect if the control works: Preserves meaningful delegation while preventing quiet expansion of an agent's authority.,Control effectiveness,Project — exploratory,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0007,"Tamper-evident workflow traces and election evidence preservation targets Record model/version, controller, root purpose, tool permissions, consequential actions, delivery endpoints, and intervention events in privacy-preserving tamper-evident logs with legal hold and researcher-access paths. at Change → agency transfer → accountability; expected agency domain: Collective / institutional; epistemic.",Mechanism,Project — exploratory,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0008,"Indirect / mixed. Expected effect if the control works: Makes investigation, remedy, independent audit, and policy learning possible after fast-moving incidents.",Control effectiveness,Project — exploratory,Control effectiveness,Strong inference,Indirect,Active,2026-08-11,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
CLM-0009,"Longitudinal APE–MASK–manipulation evaluation suite targets Run a staged evaluation from harmful-persuasion propensity and pressured deception to contextual efficacy, adaptive attacks, agent scaffolds, personalization, and 7-, 30-, and 90-day agency outcomes. at Capability → vector → target → change; expected agency domain: Evaluative; decisional; relational.",Mechanism,Normative proposal,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0010,"None — mechanism or proposal only. Expected effect if the control works: Separates propensity, deception, efficacy, durability, safeguard robustness, and deployment scale.",Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0011,"Manipulation capability–reach threshold tied to release and deployment decisions targets Combine validated manipulation capability, safeguard robustness, release reversibility, personalization, tool access, likely reach, and election timing into graduated obligations. at Capability → controller → vector → scale; expected agency domain: Evaluative; decisional; collective / institutional.",Mechanism,Normative proposal,Model behavior / capability,Open question,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0012,None — mechanism or proposal only. Expected effect if the control works: Connects research evidence to consequential policy action while scaling controls to actual risk and reversibility.,Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0013,"Election access-risk observatory for frontier and open-weight releases targets Track release dates, access modality, derivatives, safeguard state, language coverage, campaign tooling, election windows, and incident signals without publishing reproducible misuse pathways. at Capability → controller → vector → target; expected agency domain: Collective / institutional; epistemic.",Mechanism,Normative proposal,Mechanism / agency,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0014,"None — mechanism or proposal only. Expected effect if the control works: Identifies when a capability change should trigger tabletop exercises, platform contacts, monitoring, or independent tests.",Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
CLM-0015,"Official-source grounding for verifiable election-administration facts targets Ground answers about registration, eligibility, polling places, voting procedures and certified results in current authoritative election sources, with citations and escalation when sources conflict. at Vector → target → belief or behavior change; expected agency domain: Epistemic; decisional; collective / institutional.",Mechanism,Normative proposal,Mechanism / agency,Established evidence,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0016,Direct component evidence. Expected effect if the control works: Reduces preventable administrative disenfranchisement and makes correction operational rather than merely declaratory.,Control effectiveness,Normative proposal,Control effectiveness,Established evidence,Direct,Active,2026-08-11,Do not upgrade this claim from Established evidence because a legal duty or risk mechanism exists.
CLM-0017,"Proposed capability-plus-reach systemic-risk trigger targets Propose a second policy screen combining measured capability with reach, tool access, scalability and release modality; do not treat this as the current AI Act Article 51 rule. at capability growth → frontier provider → model or API → population and institutions → scalable influence → agency transfer to provider or operator; expected agency domain: Executive; Collective / institutional.",Mechanism,Normative proposal,Model behavior / capability,Plausible hypothesis,Conditional,Active,2026-08-11,Mechanism claim is distinct from evidence that the control works.
CLM-0018,"None — mechanism or proposal only. Expected effect if the control works: Avoids relying only on FLOP thresholds and can capture highly persuasive, agentic or widely distributed models below a compute threshold",Control effectiveness,Normative proposal,Control effectiveness,Plausible hypothesis,None,Active,2026-08-11,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
