gap_id,gap,why_material,current_evidence,needed_study_artifact,decision_enabled,priority,likely_owner,horizon,last_reviewed
G-01,No validated agency-transfer construct or profile,"Without construct validity, policy cannot distinguish strong assistance, legitimate persuasion, process manipulation, delegation, dependence, and concentrated control.","Adjacent evidence covers persuasion, overreliance, sycophancy, switching and concentration, but not a general cumulative construct.",Develop a six-axis Agency Transfer Profile: process integrity; decision displacement; reflective endorsement/contestability; delegation scope; dependence/path dependence; concentration/exposure. Validate reliability and discriminant/predictive validity; do not aggregate prematurely.,"Impact-assessment module, longitudinal monitoring and sharper claims—not a legal threshold by itself.",Critical,Research consortium; ethics experts; regulators,6–24 months,2026-08-11
G-02,No valid evidence chain from model signal to deployment gate,"APE and MASK measure persuasive attempts and honesty under pressure, not causal human harm; a benchmark cutoff would create false precision.","Provider frameworks and GPAI duties use multiple evaluations, exposure and residual risk; no common manipulation score-to-release threshold exists.","Validate T0–T3 evidence tiers: signal; system risk; context-specific deployment gate; post-market trigger. Predeclare human outcomes, uncertainty, exposure and domain-specific smallest effects of interest.","Mitigation, affordance limits or staged access in a defined context; never automatic prohibition from APE/MASK alone.",Critical,AI Office; safety institutes; independent labs,6–18 months,2026-08-11
G-03,No compositional-safety standard for multi-agent workflows,Local safeguards can pass while the global workflow creates harm.,Agent standards work and security authorization precedents.,"Root-purpose schemas, adversarial task decomposition, global-guard trials, and auditability tests.",Agent protocol and procurement requirements.,Critical,NIST; standards bodies; agent providers,6–18 months,2026-08-11
G-04,"Longitudinal, relational and memory-mediated evidence is thin","The central hypothesis concerns cumulative trust, path dependence and reduced reversibility, while most evidence is short and task-bounded.",Short persuasion studies; limited four-week observational/experimental evidence; task-specific offloading and one-interaction sycophancy effects.,"Factorial memory × conflict × disclosure studies; ethically controlled follow-up with cooling-off, counterevidence, washout, unassisted performance, switching and recovery.","User memory/exit controls now; loyalty, dependency and vulnerability duties only after causal validation.",Critical,Independent human-subjects researchers,12–30 months,2026-08-11
G-05,No evidence base for a general open-weight release gate,"Irreversible release reduces monitoring and withdrawal, but blanket licensing can entrench closed incumbents and push activity offshore.","Systemic-risk duties can apply to open models, yet EU law has no capability-based prior approval to publish weights; derivative visibility is fragmented.","Compare release modalities using capability, modifiability, reach, reversibility, safeguards, derivative coverage, misuse and market effects; test safe harbours.","Context-specific safety cases, staged access pilots and repository metadata—not a presumed general licence.",Critical,AI institutes; repositories; model providers; competition experts,0–18 months,2026-08-11
G-06,"Local-language, vulnerable-group, and Global South evidence gap","Manipulation, trust, and election administration are culturally and linguistically specific.",Benchmarks and studies skew toward English and high-resource settings.,"Locally governed evaluations with representative recruitment, language experts, and election authorities.",Proportionate country- and language-specific safeguards.,High,Regional universities; electoral networks,6–24 months,2026-08-11
G-07,"Organic, proxy, and conversational influence escapes political-ad definitions",Sponsor and targeting rules can be avoided without buying a formally classified ad.,Ad repositories and sponsor duties cover defined paid advertising.,"Audit proxy sponsors, affiliate steering, issue advocacy, and assistant recommendations.","Conflict, disclosure, and targeting rules based on function rather than format.",High,"Election, consumer, and platform regulators",6–18 months,2026-08-11
G-08,Closed-messaging exposure and cross-platform attribution,Privacy-preserving systems provide limited visibility into repeated forwarding and migration.,Aggregate forwarding controls and incident reports in some jurisdictions.,Privacy-preserving aggregate exposure indicators and cross-platform incident protocols.,Targeted friction and correction without mass surveillance.,High,Platforms; privacy researchers; election authorities,12–24 months,2026-08-11
G-09,Provenance effectiveness under transformation and real user conditions,Cryptographic credentials can be stripped and visible labels can be ignored or weaponized.,Technical standards and laboratory detection tests.,"Transformation robustness, comprehension, correction, and adversarial laundering studies.",When provenance is sufficient and when other controls are required.,High,C2PA ecosystem; platforms; independent labs,6–18 months,2026-08-11
G-10,No accepted metric for assistant gatekeeping and epistemic concentration,"Market share misses source selection, omission, answer defaults, and delegated search decisions.",Recommender and media-pluralism metrics are imperfect analogues.,"Source concentration, omission, user-control, default, and delegated-decision measures.","DMA designation, pluralism duties, and interoperability remedies.",High,Competition and media regulators; researchers,12–24 months,2026-08-11
G-11,Institutional dependence and deskilling are under-measured,Procurement can silently transfer public judgment and continuity to vendors.,"Registers, impact assessments, and switching rules record systems but not lost capability.","Exit exercises, internal skill audits, decision-authority mapping, and outage simulations.","Procurement, multi-provider, and internal-capability requirements.",High,Audit institutions; public buyers,0–18 months,2026-08-11
G-12,Weak evidence that interventions preserve agency or democratic outcomes,"Compliance plans, labels, takedowns and virality are not equivalent to preserved deliberation, trust or legitimate elections.",Operational metrics and selected experiments; causal election effects are rare and post-hoc attribution is fragile.,"Pre-register Brazil 2026 implementation measures before plan submission and voting: exposure, latency, correction overlap, appeals, rights costs, process tracing and bounded quasi-experimental analyses.","Scale, modify or sunset controls based on implementation and mechanism evidence without claiming that AI changed the election result.",Critical,Electoral authorities; independent evaluators,Immediate through 2027,2026-08-11
G-13,"Independent evaluators lack timely access, compute, and publication freedom",Provider-controlled evidence creates epistemic dependence and selective disclosure.,DSA data access and voluntary lab access with delays and scope limits.,Compare access models; fund secure public compute; measure finding suppression and replication.,"Access rights, levy design, and evaluator accreditation.",Critical,AI Office; governments; research funders,0–18 months,2026-08-11
G-14,Rights and proportionality costs are rarely evaluated alongside mitigation benefit,"Overbroad controls can chill political speech, privacy, dissent, satire, and beneficial openness.",General rights doctrines and platform appeal processes.,"Joint risk-rights evaluation with subgroup error, appeal, and chilling-effect measures.","Narrow triggers, safeguards, sunset clauses, and remedy design.",Critical,Human-rights bodies; courts; regulators,Immediate and continuous,2026-08-11
G-15,No threshold for democratic or constitutional significance of an AI assistant,High-reach assistants can become de facto infrastructure without formal authorization.,"Gatekeeper, media, public-law, and treaty analogies.","Measure delegated decisions, reach, default status, institutional dependence, and opinion-formation role.","Designation, public authorization, heightened duties, or sunset review.",High,Legislatures; competition and media regulators,12–30 months,2026-08-11
