verification_id,source_id,verification_type,result,checked_on,checked_by,evidence_locator,next_review,notes
VER-0001,SRC-001,Link/canonicalization,Pass,2026-08-11,GPT-5.6 research pass,Truncated Drive link replaced with canonical document URL.,Before public release,Verification is claim-specific; a working URL alone is not verification.
VER-0002,SRC-002,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0003,SRC-003,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0004,SRC-004,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0005,SRC-005,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0006,SRC-006,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0007,SRC-007,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0008,SRC-008,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Study endpoint and limitation checked for the v0.3 evidence boundary.,Before publication or new version,Verification is claim-specific; a working URL alone is not verification.
VER-0009,SRC-009,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0010,SRC-010,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Study endpoint and limitation checked for the v0.3 evidence boundary.,Before publication or new version,Verification is claim-specific; a working URL alone is not verification.
VER-0011,SRC-011,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0012,SRC-012,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0013,SRC-013,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0014,SRC-014,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0015,SRC-015,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0016,SRC-016,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0017,SRC-017,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0018,SRC-018,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0019,SRC-019,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0020,SRC-020,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0021,SRC-021,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0022,SRC-022,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0023,SRC-023,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0024,SRC-024,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0025,SRC-025,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0026,SRC-026,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0027,SRC-027,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0028,SRC-028,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0029,SRC-029,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0030,SRC-030,Claim check,Pass,2026-08-11,GPT-5.6 research pass,Primary legal text checked for the v0.3 correction set.,Before publication or material amendment,Verification is claim-specific; a working URL alone is not verification.
VER-0031,SRC-031,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0032,SRC-032,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0033,SRC-033,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
VER-0034,SRC-034,Claim check,Not assessed,2026-08-11,GPT-5.6 research pass,URL retained from v0.2; metadata and supporting claim require recheck.,Before citation,Verification is claim-specific; a working URL alone is not verification.
